volume,plate,gould_latin,crosswalk_birdnet,ku_sci,ku_english,verdict,reason
IV,33,Ptilotis sonorus,Gavicalis virescens_Singing Honeyeater,Lichenostomus versicolor sonoroides,Varied Honeyeater,ku-error,Ptilotis sonorus Gould = Singing Honeyeater (virescens); KU put it on a race of Varied Honeyeater
IV,66,Myzomela nigra,Sugomel nigrum_Black Honeyeater,Myzomela nigrita,Black Myzomela,ku-error,Myzomela nigra Gould = Black Honeyeater Sugomel niger; KU's Black Myzomela M. nigrita is New Guinea
IV,73,Melithreptus chloropsis,Melithreptus chloropsis_Gilbert's Honeyeater,Melithreptus lunatus chloropsis,White-naped Honeyeater,same,Split: Gilbert's Honeyeater M. chloropsis split from White-naped M. lunatus; Gould's Swan River bird is chloropsis
IV,82,Zosterops chloronotus,Zosterops lateralis_Silvereye,Zosterops chloronothos,Mauritius Olive White-eye,ku-error,KU matched Mauritius Olive White-eye by name; Gould's chloronotus is from the west coast of Australia = Silvereye
IV,91,Eudynamys Flindersii,Eudynamys orientalis_Pacific Koel,Eudynamys scolopaceus,Asian Koel,same,Split: Pacific Koel E. orientalis split from Asian Koel E. scolopaceus; Gould's bird is Australian
IV,93,Climacteris scandens,Climacteris picumnus_Brown Treecreeper,Cormobates leucophaea,White-throated Treecreeper,ku-error,"Plate shows Brown Treecreeper (pale brow, streaked breast, buff wing band); Temminck's scandens is a synonym of C. picumnus. KU swapped IV.93/IV.98"
IV,96,Climacteris melanotus,Climacteris picumnus_Brown Treecreeper,Climacteris melanurus,Black-tailed Treecreeper,ku-error,Plate shows black back with buff face and breast = Black-backed race of Brown Treecreeper C. p. melanotus (Cape York); Black-tailed Treecreeper is IV.97 (C. melanura)
IV,98,Climacteris picumnus,Cormobates leucophaea_White-throated Treecreeper,Climacteris picumnus,Brown Treecreeper,ku-error,"Plate shows White-throated Treecreeper (dark, orange cheek spot of female, white-streaked flanks); Gould misapplied picumnus. KU swapped IV.93/IV.98"
IV,99,Orthonyx spinicaudus,Orthonyx temminckii_Australian Logrunner,Orthonyx t emminckii,Australian Logrunner,same,KU's 'Orthonyx t emminckii' is a typo for temminckii
V,15,Polytelis Barrabandi,Polytelis swainsonii_Superb Parrot,Polytelis anthopeplus,Regent Parrot,ku-error,"Plate shows Superb Parrot (green, yellow face, red throat band); barrabandi = P. swainsonii. KU swapped V.15/V.16"
V,16,Polytelis melanura,Polytelis anthopeplus_Regent Parrot,Polytelis swainsonii,Superb Parrot,ku-error,"Plate shows Regent Parrot (yellow body, black tail); melanura = P. anthopeplus. KU swapped V.15/V.16"
V,48,Trichoglossus Swainsonii,Trichoglossus moluccanus_Rainbow Lorikeet,Trichoglossus haematodus,Coconut Lorikeet,same,Split: Rainbow Lorikeet T. moluccanus split from Coconut Lorikeet T. haematodus; Gould's bird is Australian
V,60,Carpophaga luctuosa,Ducula spilorrhoa_Torresian Imperial-Pigeon,Ducula bicolor,Pied Imperial Pigeon,same,Split: Torresian Imperial-Pigeon D. spilorrhoa split from Pied Imperial-Pigeon D. bicolor; Gould's bird is from Torres Strait
V,62,Chalcophaps chrysochlora,Chalcophaps longirostris_Pacific Emerald Dove,Chalcophaps indica,Common Emerald Dove,same,Split: Pacific Emerald Dove C. longirostris split from Common/Asian C. indica; Gould's bird is Australian
V,75,Macropygia Phasianella,Macropygia phasianella_Brown Cuckoo-Dove,Macropygia amboinensis,Brown Cuckoo-Dove,same,Split: Brown Cuckoo-Dove M. phasianella split from Amboyna Cuckoo-Dove M. amboinensis; KU's English already says Brown Cuckoo-Dove
V,90,Synoicus Diemenensis,Synoicus ypsilophorus_Brown Quail,Synoicus diemenensis,Van diemen's land partridge,same,KU gives only Gould's name; the Tasmanian Brown Quail is nominate S. ypsilophorus
VI,2,Apteryx australis,Apteryx mantelli_North Island Brown Kiwi,Apteryx australis,"Brown Kiwi, Haast Tokoeka, Southern Brown Kiwi, Southern Tokoeka",doubtful,"KU (A. australis, Southern Brown Kiwi) follows the name, which BirdNET lacks; Gould drew New Zealand Company skins without locality, so North Island (A. mantelli) is not shown. Recommend none"
VI,9,Lobivanellus lobatus,Vanellus miles_Masked Lapwing,Lobivanellus lobatus,Wattled pewit,same,KU gives only Gould's name; Lobivanellus lobatus = Masked Lapwing V. miles novaehollandiae
VI,11,Sarciophorus pectoralis,Vanellus tricolor_Banded Lapwing,Vanellus macropterus,Javan Lapwing,ku-error,"Gould: black breast band, Van Diemen's Land/SA/NSW = Banded Lapwing V. tricolor; KU's Javan Lapwing is Asian"
VI,13,Charadrius xanthocheilus,Pluvialis fulva_Pacific Golden-Plover,Pluvialis dominica,"American Golden Plover, Lesser Golden-Plover,  Chorlo dominico,  Pluvier bronzé, pluvier doré d'Amérique",same,Split: Pacific Golden-Plover split from American Golden-Plover (P. dominica s.l.); Australian birds are fulva
VI,19,Hiaticula inornata,Charadrius mongolus_Lesser Sand-Plover,Hiaticula inornata,Allied dottrel,doubtful,"KU gives only Gould's name. Gould: Port Essington/Torres Strait sand-plover, winter and breeding plumage, sexes differing in size by a third, so his series may mix Lesser and Greater. The plate's short bills suggest Lesser, but that is not certain"
VI,31,Schoeniclus albescens,Calidris ruficollis_Red-necked Stint,Calidris alba,"Sanderling, Bécasseau sanderling, Playero blanco",ku-error,albescens Temminck = Red-necked Stint C. ruficollis (standard synonymy); KU's Sanderling is a different bird
VI,38,Totanus griseopygius,Tringa brevipes_Gray-tailed Tattler,Tringa erythropus,"Chevalier arlequin, Spotted Redshank",ku-error,Totanus griseopygius Gould = Grey-tailed Tattler; KU's Spotted Redshank is wrong
VI,46,Threskiornis strictipennis,Threskiornis molucca_Australian Ibis,Threskiornis aethiopicus,"African Sacred Ibis, Sacred Ibis",same,Split: Australian Ibis T. molucca split from African Sacred Ibis T. aethiopicus
VI,58,Herodias immaculata,Egretta garzetta_Little Egret,Egretta gularis,"Western Reef Heron, Aigrette à gorge blanche",ku-error,Herodias immaculata Gould = Australian Little Egret E. garzetta immaculata/nigripes; KU's Western Reef-Heron is African/Asian
VI,61,Herodias Greyi,Egretta sacra_Pacific Reef-Heron,Egretta novaehollandiae,White-faced Heron,ku-error,"Plate: all-white heron with a stout yellow bill on coral reefs; Gould calls it an albino of the dark Reef Heron (jugularis) = white morph Pacific Reef-Heron, not White-faced"
VI,68,Ardetta pusilla,Ixobrychus dubius_Black-backed Bittern,Ixobrychus minutus,"Little Bittern, Blongios nain",same,Split: Black-backed Bittern I. dubius split from Little Bittern I. minutus; Gould's pusilla is the Australian bird
VI,69,Porphyrio melanotus,Porphyrio melanotus_Australasian Swamphen,Porphyrio porphyrio melanotus,Purple Swamphen,same,Split: Australasian Swamphen P. melanotus split from Purple Swamphen P. porphyrio; Gould's bird is the Australian daughter
VI,70,Porphyrio bellus,Porphyrio melanotus_Australasian Swamphen,Porphyrio porphyrio,Purple Swamphen,same,"Split: bellus (SW Australia) is a race of Australasian Swamphen P. melanotus, split from P. porphyrio"
VI,76,Rallus pectoralis,Gallirallus philippensis_Buff-banded Rail,Lewinia pectoralis,Lewin's Rail,ku-error,"KU used the modern binomial; Gould's text and plate (chestnut eye-stripe, sandy-buff breast band, barred belly, a 'Land Rail') = Buff-banded Rail; Lewin's Rail is VI.77"
VII,21,Lestris catarractes,Stercorarius antarcticus_Brown Skua,Stercorarius skua,"Great Skua, Grand Labbe",doubtful,"KU follows the name (Great Skua); Gould's text is about Southern Ocean and Tasmanian birds (Brown Skua) and the plate is uniformly dark without Great Skua's pale streaking, but he calls them one species and names no specimen"
VII,23,Thalasseus pelecanoides,Thalasseus bergii_Great Crested Tern,Thalasseus bengalensis torresii,Lesser Crested Tern,ku-error,"KU confused Torres' Straits Tern with torresii (VII.25); the plate's large, pale-yellow-billed tern with a white forehead = Great Crested, pelecanoides King"
VII,24,Thalasseus poliocercus,Thalasseus bergii_Great Crested Tern,Thalasseus poliocereus,Bass's straits' tern,same,KU gives only Gould's name; poliocercus = southern Great Crested Tern; the plate has a large yellow bill
VII,31,Hydrochelidon fluviatilis,Chlidonias hybrida_Whiskered Tern,Hydrochelidon fluviatilis,Marsh tern,same,KU gives only Gould's name; Hydrochelidon fluviatilis Gould = Whiskered Tern C. hybrida javanicus
VII,32,Onychoprion fuliginosus,Onychoprion fuscatus_Sooty Tern,Onychoprion anaethetus,"Bridled Tern, Charrán embridado, Sterne bridée",ku-error,"Plate: black back, white forehead patch not behind the eye = Sooty Tern; Bridled Tern is VII.33 (O. panaya), which the plate shows with a long white eyebrow"
VII,35,Anous melanops,Anous tenuirostris_Lesser Noddy,Anous minutus,"Black Noddy, Charrán-bobo negro, Noddi noir",ku-error,Anous melanops Gould (Houtman Abrolhos) = Lesser Noddy A. tenuirostris melanops; KU's Black Noddy is a different bird
VII,75,Plotus Novae-Hollandiae,Anhinga novaehollandiae_Australasian Darter,Anhinga melanogaster,"Darter, Oriental Darter",same,Split: Australasian Darter A. novaehollandiae split from Oriental Darter A. melanogaster
Supp,25,Sphenura Broadbenti,Dasyornis broadbenti_Rufous Bristlebird,Dasyornis brachypterus,Eastern Bristlebird,ku-error,Sphenura broadbenti McCoy = Rufous Bristlebird; the plate shows the rufous crown and speckled breast; Eastern Bristlebird is D. brachypterus
Supp,29,Pitta Mackloti,Erythropitta macklotii_Papuan Pitta,Pitta erythrogaster macklotii,Red-bellied Pitta,same,Split: Papuan Pitta E. macklotii split from Red-bellied Pitta; Australian digglesi sits in macklotii
Supp,37,Sphecotheres flaviventris,Sphecotheres vieilloti_Australasian Figbird,Coracina larvata,Sunda Cuckooshrike,ku-error,Sphecotheres flaviventris Gould = yellow-bellied northern Australasian Figbird; KU's Sunda Cuckooshrike is absurd
Supp,39,Ptilotis cassidix,Lichenostomus melanops_Yellow-tufted Honeyeater,Lichenostomus melanopscassidix,Yellow-tufted Honeyeater,same,"KU's 'melanopscassidix' is melanops cassidix (Helmeted race of Yellow-tufted Honeyeater), run together"
Supp,49,Zosterops tephropleurus,Zosterops lateralis_Silvereye,Zosterops tephropleurus,Zosterops tephropleurus,same,KU gives only Gould's name; tephropleurus = Lord Howe race of Silvereye Z. lateralis
Supp,63,Platycercus cyanogenys,Platycercus adscitus_Pale-headed Rosella,Platycercus elegans,Crimson Rosella,ku-error,"Plate: pale yellow head with blue cheeks, yellowish body = Pale-headed Rosella nominate adscitus (Cape York); not Crimson Rosella"
Supp,79,Gallinula ruficrissa,Amaurornis moluccana_Pale-vented Bush-hen,Amaurornis olivacea,Plain Bush-hen,same,Split: Pale-vented Bush-hen A. moluccana split from Plain Bush-hen A. olivacea; Gould's ruficrissa (Qld) is the Australian bird
