volume,plate,gould_latin,gould_english,modern_sci,birdnet_sci,birdnet_common,confidence,reason
I,31,Strix delicatulus,Delicate Owl,Tyto alba,Tyto alba,Barn Owl,high,delicatula = Eastern Barn Owl; BirdNET lumps in Tyto alba
I,32,Athene Boobook,Boobook Owl,Ninox boobook,Ninox boobook,Southern Boobook,high,Southern Boobook (Clements: Australian Boobook)
I,33,Athene maculata,Spotted Owl,Ninox leucopsis,Ninox novaeseelandiae,Morepork,low,"drawn from live Hobart birds = Tasmanian Boobook; Clements 2021 kept it in Morepork, IOC splits; BirdNET Morepork is NZ-trained"
I,34,Athene connivens,Winking Owl,Ninox connivens,Ninox connivens,Barking Owl,high,Barking Owl
I,35,Athene strenua,Powerful Owl,Ninox strenua,Ninox strenua,Powerful Owl,high,Powerful Owl
I,36,Athene rufa,Rufous Owl,Ninox rufa,,,high,Rufous Owl; not in BirdNET
II,1,Aegotheles Novae-Hollandiae,Owlet Nightjar,Aegotheles cristatus,Aegotheles cristatus,Australian Owlet-nightjar,high,novaehollandiae = Australian Owlet-nightjar
II,2,Aegotheles leucogaster,White-bellied Owlet Nightjar,Aegotheles cristatus,Aegotheles cristatus,Australian Owlet-nightjar,high,leucogaster = inland race
II,3,Podargus humeralis,Tawny-shouldered Podargus,Podargus strigoides,Podargus strigoides,Tawny Frogmouth,high,humeralis = Tawny Frogmouth
II,4,Podargus Cuvieri,Cuvier’s Podargus,Podargus strigoides,Podargus strigoides,Tawny Frogmouth,high,cuvieri = Tasmanian/SE Tawny Frogmouth
II,5,Podargus Phalaenoides,Moth-plumaged Podargus,Podargus strigoides,Podargus strigoides,Tawny Frogmouth,high,phalaenoides = N race of Tawny Frogmouth
II,6,Podargus plumiferus,Plumed Podargus,Podargus ocellatus,Podargus ocellatus,Marbled Frogmouth,high,"plumiferus = Plumed Frogmouth, race of Marbled Frogmouth"
II,7,Eurostopodus albogularis,White-throated Goat-sucker,Eurostopodus mystacalis,Eurostopodus mystacalis,White-throated Nightjar,high,albogularis = White-throated Nightjar
II,8,Eurostopodus guttatus,Spotted Goat-sucker,Eurostopodus argus,Eurostopodus argus,Spotted Nightjar,high,guttatus = Spotted Nightjar
II,9,Caprimulgus macrurus,Large-tailed Goat-sucker,Caprimulgus macrurus,Caprimulgus macrurus,Large-tailed Nightjar,high,Large-tailed Nightjar
II,10,Acanthylis caudacuta,Australian Spine-tailed Swallow,Hirundapus caudacutus,Hirundapus caudacutus,White-throated Needletail,high,White-throated Needletail
II,11,Cypselus Australis,Australian Swift,Apus pacificus,Apus pacificus,Pacific Swift,high,Cypselus australis Gould = Pacific Swift
II,12,Atticora leucosternon,White-breasted Swallow,Cheramoeca leucosterna,,,high,White-backed Swallow; not in BirdNET
II,13,Hirundo neoxena,Welcome Swallow,Hirundo neoxena,Hirundo neoxena,Welcome Swallow,high,Welcome Swallow
II,14,Collocalia arborea,Tree Martin,Petrochelidon nigricans,Petrochelidon nigricans,Tree Martin,high,Tree Martin
II,15,Collocalia Ariel,Fairy Martin,Petrochelidon ariel,Petrochelidon ariel,Fairy Martin,high,Fairy Martin
II,16,Merops ornatus,Australian Bee-eater,Merops ornatus,Merops ornatus,Rainbow Bee-eater,high,Rainbow Bee-eater
II,17,Eurystomus Australis,Australian Roller,Eurystomus orientalis,Eurystomus orientalis,Dollarbird,high,australis = Dollarbird (pacificus)
II,18,Dacelo gigantea,Great Brown Kingfisher,Dacelo novaeguineae,Dacelo novaeguineae,Laughing Kookaburra,high,gigantea = Laughing Kookaburra
II,19,Dacelo Leachii,Leach’s Kingfisher,Dacelo leachii,Dacelo leachii,Blue-winged Kookaburra,high,Blue-winged Kookaburra
II,20,Dacelo cervina,Fawn-breasted Kingfisher,Dacelo leachii,Dacelo leachii,Blue-winged Kookaburra,high,cervina = NT race of Blue-winged Kookaburra
II,21,Halcyon sanctus,Sacred Halcyon,Todiramphus sanctus,Todiramphus sanctus,Sacred Kingfisher,high,Sacred Kingfisher
II,22,Halcyon pyrrhopygia,Red-backed Halcyon,Todiramphus pyrrhopygius,,,high,Red-backed Kingfisher; not in BirdNET
II,23,Halcyon sordidus,Sordid Halcyon,Todiramphus sordidus,Todiramphus sordidus,Torresian Kingfisher,high,Torresian Kingfisher (split from Collared in BirdNET)
II,24,Halcyon MacLeayii,MacLeay’s Halcyon,Todiramphus macleayii,Todiramphus macleayii,Forest Kingfisher,high,Forest Kingfisher
II,25,Alcyone azurea,Azure Kingfisher,Ceyx azureus,Ceyx azureus,Azure Kingfisher,high,Azure Kingfisher
II,26,Alcyone pusilla,Little Kingfisher,Ceyx pusillus,,,high,Little Kingfisher; not in BirdNET
II,27,Artamus sordidus,Wood Swallow,Artamus cyanopterus,Artamus cyanopterus,Dusky Woodswallow,high,sordidus = Dusky Woodswallow
II,28,Artamus minor,Little Wood Swallow,Artamus minor,,,high,Little Woodswallow; not in BirdNET
II,29,Artamus cinereus,Grey-breasted Wood Swallow,Artamus cinereus,Artamus cinereus,Black-faced Woodswallow,high,Black-faced Woodswallow
II,30,Artamus albiventris,White-vented Wood Swallow,Artamus cinereus,Artamus cinereus,Black-faced Woodswallow,high,albiventris = race of Black-faced Woodswallow
II,31,Artamus personatus,Masked Wood Swallow,Artamus personatus,Artamus personatus,Masked Woodswallow,high,Masked Woodswallow
II,32,Artamus superciliosus,White-eyebrowed Wood Swallow,Artamus superciliosus,Artamus superciliosus,White-browed Woodswallow,high,White-browed Woodswallow
II,33,Artamus leucopygialis,White-rumped Wood Swallow,Artamus leucorynchus,Artamus leucorynchus,White-breasted Woodswallow,high,leucopygialis = Australian White-breasted Woodswallow
II,34,Dicaeum hirundinaceum,Swallow Dicæum,Dicaeum hirundinaceum,Dicaeum hirundinaceum,Mistletoebird,high,Mistletoebird
II,35,Pardalotus punctatus,Spotted Pardalote,Pardalotus punctatus,Pardalotus punctatus,Spotted Pardalote,high,Spotted Pardalote
II,36,Pardalotus rubricatus,Red-lored Pardalote,Pardalotus rubricatus,Pardalotus rubricatus,Red-browed Pardalote,high,Red-browed Pardalote
II,37,Pardalotus quadragintus,Forty-spotted Pardalote,Pardalotus quadragintus,,,high,Forty-spotted Pardalote; not in BirdNET
II,38,Pardalotus striatus,Striated Pardalote,Pardalotus striatus,Pardalotus striatus,Striated Pardalote,high,Striated Pardalote (Tasmanian nominate)
II,39,Pardalotus affinis,Allied Pardalote,Pardalotus striatus,Pardalotus striatus,Striated Pardalote,high,affinis = race of Striated Pardalote
II,40,Pardalotus melanocephalus,Black-headed Pardalote,Pardalotus striatus,Pardalotus striatus,Striated Pardalote,high,melanocephalus = race of Striated Pardalote
II,41,Pardalotus uropygialis,Yellow-rumped Pardalote,Pardalotus striatus,Pardalotus striatus,Striated Pardalote,high,uropygialis = race of Striated Pardalote
II,42,Strepera graculina,Great Crow-Shrike,Strepera graculina,Strepera graculina,Pied Currawong,high,Pied Currawong
II,43,Strepera fuliginosa,Sooty Crow-Shrike,Strepera fuliginosa,Strepera fuliginosa,Black Currawong,high,Black Currawong
II,44,Strepera arguta,Hill Crow-Shrike,Strepera versicolor,Strepera versicolor,Gray Currawong,high,arguta = Tasmanian Grey Currawong
II,45,Strepera Anaphonensis,Grey Crow-Shrike,Strepera versicolor,Strepera versicolor,Gray Currawong,high,anaphonensis = Grey Currawong
II,46,Gymnorhina Tibicen,Piping Crow-Shrike,Gymnorhina tibicen,Gymnorhina tibicen,Australian Magpie,high,Australian Magpie
II,47,Gymnorhina leuconota,White-backed Crow-Shrike,Gymnorhina tibicen,Gymnorhina tibicen,Australian Magpie,high,leuconota = white-backed race
II,48,Gymnorhina organicum,Tasmanian Crow-Shrike,Gymnorhina tibicen,Gymnorhina tibicen,Australian Magpie,high,organicum = Tasmanian race
II,49,Cracticus nigrogularis,Black-throated Crow-Shrike,Cracticus nigrogularis,Cracticus nigrogularis,Pied Butcherbird,high,Pied Butcherbird
II,50,Cracticus picatus,Pied Crow-Shrike,Cracticus nigrogularis,Cracticus nigrogularis,Pied Butcherbird,high,picatus = NW race of Pied Butcherbird
II,51,Cracticus argenteus,Silvery-backed Butcher-Bird,Cracticus argenteus,Cracticus torquatus,Gray Butcherbird,high,"Silver-backed Butcherbird; IOC splits, BirdNET/Clements 2021 lump in Grey Butcherbird"
II,52,Cracticus destructor,Butcher-Bird,Cracticus torquatus,Cracticus torquatus,Gray Butcherbird,high,destructor = Grey Butcherbird
II,53,Cracticus Quoyii,Quoy’s Crow-Shrike,Cracticus quoyi,Cracticus quoyi,Black Butcherbird,high,Black Butcherbird
II,54,Grallina Australis,Pied Grallina,Grallina cyanoleuca,Grallina cyanoleuca,Magpie-lark,high,australis = Magpie-lark
II,55,Graucalus melanops,Black-faced Graucalus,Coracina novaehollandiae,Coracina novaehollandiae,Black-faced Cuckooshrike,high,melanops = Black-faced Cuckooshrike
II,56,Graucalus mentalis,Varied Graucalus,Coracina papuensis,Coracina papuensis,White-bellied Cuckooshrike,medium,mentalis V&H = dark-faced 'Varied' form of White-bellied Cuckooshrike (robusta)
II,57,Graucalus hypoleucus,White-bellied Graucalus,Coracina papuensis,Coracina papuensis,White-bellied Cuckooshrike,high,hypoleuca = White-bellied Cuckooshrike
II,58,Graucalus Swainsonii,Swainson’s Graucalus,Coracina lineata,Coracina lineata,Barred Cuckooshrike,high,"swainsonii Gould, new name for Ceblepyris lineatus Swainson (barred breast) = Barred Cuckooshrike"
II,59,Pteropodocys Phasianella,Ground Graucalus,Coracina maxima,,,high,Ground Cuckooshrike; not in BirdNET
II,60,Campephaga Jardinii,Jardine’s Campephaga,Edolisoma tenuirostre,Edolisoma tenuirostre,Common Cicadabird,high,Campephaga jardinii = Common Cicadabird
II,61,Campephaga Karu,Northern Campephaga,Lalage leucomela,Lalage leucomela,Varied Triller,high,Port Essington bird Gould referred to karu = Varied Triller (rufiventris)
II,62,Campephaga leucomela,Black and White Campephaga,Lalage leucomela,Lalage leucomela,Varied Triller,high,Varied Triller
II,63,Campephaga humeralis,White-shouldered Campephaga,Lalage tricolor,Lalage tricolor,White-winged Triller,high,humeralis Gould = White-winged Triller
II,64,Pachycephala gutturalis,Guttural Pachycephala,Pachycephala pectoralis,Pachycephala pectoralis,Golden Whistler,medium,"gutturalis Latham = Golden Whistler (E Aus); Gould's synonymy also lumps the W form (fuliginosa, now Western Whistler)"
II,65,Pachycephala glaucura,Grey-tailed Pachycephala,Pachycephala pectoralis,Pachycephala pectoralis,Golden Whistler,high,glaucura = Tasmanian Golden Whistler
II,66,Pachycephala melanura,Black-tailed Pachycephala,Pachycephala melanura,,,high,Mangrove Golden Whistler; not in BirdNET
II,67,Pachycephala pectoralis,Banded Thick-head,Pachycephala rufiventris,Pachycephala rufiventris,Rufous Whistler,high,"TRAP: Gould's 'P. pectoralis, Banded Thick-head' is Latham's Muscicapa pectoralis = Rufous Whistler (orange-brown belly, black band); binomial now = Golden Whistler"
II,68,Pachycephala falcata,Lunated Pachycephala,Pachycephala rufiventris,Pachycephala rufiventris,Rufous Whistler,high,falcata Gould = NT race of Rufous Whistler
II,69,Pachycephala Lanoides,Shrike-like Pachycephala,Pachycephala lanioides,Pachycephala lanioides,White-breasted Whistler,high,White-breasted Whistler
II,70,Pachycephala rufogularis,Red-throated Pachycephala,Pachycephala rufogularis,,,high,Red-lored Whistler; not in BirdNET
II,71,Pachycephala Gilbertii,Gilbert’s Pachycephala,Pachycephala inornata,Pachycephala inornata,Gilbert's Whistler,high,gilbertii = Gilbert's Whistler
II,72,Pachycephala simplex,Plain-coloured Pachycephala,Pachycephala simplex,Pachycephala simplex,Gray Whistler,high,Grey Whistler
II,73,Pachycephala olivacea,Olivaceous Pachycephala,Pachycephala olivacea,Pachycephala olivacea,Olive Whistler,high,Olive Whistler
II,74,Colluricincla harmonica,Harmonious Colluricincla,Colluricincla harmonica,Colluricincla harmonica,Gray Shrikethrush,high,Grey Shrikethrush
II,75,Colluricincla rufiventris,Buff-bellied Colluricincla,Colluricincla harmonica,Colluricincla harmonica,Gray Shrikethrush,high,rufiventris = W race
II,76,Colluricincla brunnea,Brown Colluricincla,Colluricincla harmonica,Colluricincla harmonica,Gray Shrikethrush,high,brunnea = N race of Grey Shrikethrush
II,77,Colluricincla Selbii,Selby’s Colluricincla,Colluricincla harmonica,Colluricincla harmonica,Gray Shrikethrush,high,selbii = Tasmanian Grey Shrikethrush (Gould's text)
II,78,Colluricincla parvula,Little Colluricincla,Colluricincla megarhyncha,Colluricincla megarhyncha,Arafura Shrikethrush,high,"parvula = NT race; BirdNET's megarhyncha is Arafura Shrikethrush, which holds parvula"
II,79,Falcunculus frontatus,Frontal Shrike-Tit,Falcunculus frontatus,Falcunculus frontatus,Crested Shrike-tit,high,Crested Shrike-tit
II,80,Falcunculus leucogaster,White-bellied Shrike-Tit,Falcunculus frontatus,Falcunculus frontatus,Crested Shrike-tit,high,leucogaster = W race (IOC splits; BirdNET lumps)
II,81,Oreoica gutturalis,Crested Oreoïca,Oreoica gutturalis,Oreoica gutturalis,Crested Bellbird,high,Crested Bellbird
II,82,Dicrurus bracteatus,Spangled Drongo,Dicrurus bracteatus,Dicrurus bracteatus,Spangled Drongo,high,Spangled Drongo
II,83,Rhipidura albiscapa,White-shafted Fantail,Rhipidura albiscapa,Rhipidura albiscapa,Gray Fantail,high,Grey Fantail
II,84,Rhipidura rufifrons,Rufous-fronted Fantail,Rhipidura rufifrons,Rhipidura rufifrons,Rufous Fantail,high,Rufous Fantail
II,85,Rhipidura isura,Northern Fantail,Rhipidura rufiventris,Rhipidura rufiventris,Northern Fantail,high,isura = Northern Fantail
II,86,Rhipidura Motacilloides,Black Fantailed Flycatcher,Rhipidura leucophrys,Rhipidura leucophrys,Willie-wagtail,high,motacilloides = Willie-wagtail
II,87,Seisura inquieta,Restless Flycatcher,Myiagra inquieta,Myiagra inquieta,Restless Flycatcher,high,Restless Flycatcher
II,88,Piezorhynchus nitidus,Blue Shining Flycatcher,Myiagra alecto,Myiagra alecto,Shining Flycatcher,high,Piezorhynchus nitidus = Shining Flycatcher
II,89,Myiagra plumbea,Plumbeous Flycatcher,Myiagra rubecula,Myiagra rubecula,Leaden Flycatcher,high,plumbea = Leaden Flycatcher
II,90,Myiagra concinna,Pretty Flycatcher,Myiagra rubecula,Myiagra rubecula,Leaden Flycatcher,high,concinna = N race of Leaden Flycatcher
II,91,Myiagra nitida,Shining Flycatcher,Myiagra cyanoleuca,Myiagra cyanoleuca,Satin Flycatcher,high,"TRAP: Myiagra nitida Gould ('Satin Sparrow' of Tasmania) = Satin Flycatcher, not the Shining Flycatcher of today"
II,92,Myiagra latirostris,Broad-billed Flycatcher,Myiagra ruficollis,Myiagra ruficollis,Broad-billed Flycatcher,high,latirostris = Broad-billed Flycatcher
II,93,Microeca macroptera,Great-winged Micrœca,Microeca fascinans,Microeca fascinans,Jacky-winter,high,macroptera = Jacky Winter
II,94,Microeca flavigaster,Yellow-bellied Micrœca,Microeca flavigaster,Microeca flavigaster,Lemon-bellied Flycatcher,high,Lemon-bellied Flycatcher
II,95,Monarcha carinata,Carinated Flycatcher,Monarcha melanopsis,Monarcha melanopsis,Black-faced Monarch,high,carinata = Black-faced Monarch
II,96,Monarcha trivirgata,Black-fronted Flycatcher,Symposiachrus trivirgatus,Symposiachrus trivirgatus,Spectacled Monarch,high,Spectacled Monarch
II,97,Gerygone albogularis,White-throated Gerygone,Gerygone olivacea,Gerygone olivacea,White-throated Gerygone,high,albogularis = White-throated Gerygone
II,98,Gerygone fuscus,Fuscous Gerygone,Gerygone fusca,Gerygone fusca,Western Gerygone,high,Psilopus fuscus Gould = Western Gerygone
II,99,Gerygone culicivorus,Western Gerygone,Gerygone fusca,Gerygone fusca,Western Gerygone,high,culicivorus = SW WA Western Gerygone
II,100,Gerygone magnirostris,Great-billed Gerygone,Gerygone magnirostris,Gerygone magnirostris,Large-billed Gerygone,high,Large-billed Gerygone
II,101,Gerygone laevigaster,Buff-breasted Gerygone,Gerygone levigaster,Gerygone levigaster,Mangrove Gerygone,high,Mangrove Gerygone
II,102,Gerygone chloronotus,Green-backed Gerygone,Gerygone chloronota,Gerygone chloronota,Green-backed Gerygone,high,Green-backed Gerygone
II,103,Smicrornis brevirostris,Short-billed Smicrornis,Smicrornis brevirostris,Smicrornis brevirostris,Weebill,high,Weebill
II,104,Smicrornis flavescens,Yellow-tinted Smicrornis,Smicrornis brevirostris,Smicrornis brevirostris,Weebill,high,flavescens = N race of Weebill
III,1,Erythrodryas rhodinogaster,Pink-breasted Wood-robin,Petroica rodinogaster,Petroica rodinogaster,Pink Robin,high,Erythrodryas rhodinogaster = Pink Robin
III,2,Erythrodryas rosea,Rose-breasted Wood-robin,Petroica rosea,Petroica rosea,Rose Robin,high,Rose Robin
III,3,Petroica multicolor,Scarlet-breasted Robin,Petroica boodang,Petroica boodang,Scarlet Robin,high,Gould's 'multicolor' figure is the Australian Scarlet Robin (Gmelin's multicolor is the Norfolk bird); BirdNET splits boodang
III,4,Petroica erythrogastra,Norfolk Island Robin,Petroica multicolor,,,high,"erythrogastra, Norfolk Island Robin = Norfolk Robin; not in BirdNET (P. pusilla Pacific Robin is the split-off rest)"
III,5,Petroica Goodenovii,Red-capped Robin,Petroica goodenovii,Petroica goodenovii,Red-capped Robin,high,Red-capped Robin
III,6,Petroica phoenicea,Flame-breasted Robin,Petroica phoenicea,Petroica phoenicea,Flame Robin,high,Flame Robin
III,7,Petroica bicolor,Pied Robin,Melanodryas cucullata,Melanodryas cucullata,Hooded Robin,high,Petroica bicolor = Hooded Robin
III,8,Petroica fusca,Dusky Robin,Melanodryas vittata,Melanodryas vittata,Dusky Robin,high,Petroica fusca Gould (Tasmania) = Dusky Robin
III,9,Petroica superciliosa,White-eyebrowed Robin,Poecilodryas superciliosa,,,high,White-browed Robin; not in BirdNET
III,10,Drymodes brunneopygia,Scrub Robin,Drymodes brunneopygia,Drymodes brunneopygia,Southern Scrub-Robin,high,Southern Scrub-Robin
III,11,Eöpsaltria Australis,Yellow-breasted Robin,Eopsaltria australis,Eopsaltria australis,Eastern Yellow Robin,high,Eastern Yellow Robin
III,12,Eöpsaltria griseogularis,Grey-breasted Robin,Eopsaltria griseogularis,,,high,Western Yellow Robin; not in BirdNET
III,13,Eöpsaltria leucogaster,White-bellied Robin,Eopsaltria georgiana,,,high,leucogaster Gould = White-breasted Robin; not in BirdNET
III,14,Menura superba,Lyre-Bird,Menura novaehollandiae,Menura novaehollandiae,Superb Lyrebird,high,superba = Superb Lyrebird
III,15,Psophodes crepitans,Coach-whip Bird,Psophodes olivaceus,Psophodes olivaceus,Eastern Whipbird,high,crepitans = Eastern Whipbird
III,16,Psophodes nigrogularis,Black-throated Psophodes,Psophodes nigrogularis,Psophodes nigrogularis,Western Whipbird,high,Western Whipbird
III,17,Sphenostoma cristata,Crested Wedge-bill,Psophodes cristatus,Psophodes cristatus,Chirruping Wedgebill,high,Sphenostoma cristatum Gould = Chirruping Wedgebill
III,18,Malurus cyaneus,Blue Wren,Malurus cyaneus,Malurus cyaneus,Superb Fairywren,high,Superb Fairywren
III,19,Malurus longicaudus,Long-tailed Wren,Malurus cyaneus,Malurus cyaneus,Superb Fairywren,high,longicaudus = Tasmanian Superb Fairywren
III,20,Malurus melanotus,Black-backed Wren,Malurus splendens,Malurus splendens,Splendid Fairywren,high,melanotus = Black-backed race of Splendid Fairywren
III,21,Malurus splendens,Banded Wren,Malurus splendens,Malurus splendens,Splendid Fairywren,high,Splendid Fairywren
III,22,Malurus elegans,Graceful Wren,Malurus elegans,Malurus elegans,Red-winged Fairywren,high,Red-winged Fairywren
III,23,Malurus pulcherrimus,Beautiful Wren,Malurus pulcherrimus,,,high,Blue-breasted Fairywren; not in BirdNET
III,24,Malurus Lamberti,Lambert’s Wren,Malurus lamberti,Malurus lamberti,Variegated Fairywren,high,Variegated Fairywren (nominate E Aus form)
III,25,Malurus leucopterus,White-winged Wren,Malurus leucopterus,Malurus leucopterus,White-winged Fairywren,high,White-winged Fairywren
III,26,Malurus melanocephalus,Black-headed Wren,Malurus melanocephalus,Malurus melanocephalus,Red-backed Fairywren,high,Red-backed Fairywren
III,27,Malurus Brownii,Brown’s Wren,Malurus melanocephalus,Malurus melanocephalus,Red-backed Fairywren,high,brownii V&H = Red-backed Fairywren
III,28,Amytis textilis,Textile Wren,Amytornis textilis,,,high,Textile Wren = Western Grasswren; not in BirdNET
III,29,Amytis striatus,Striated Wren,Amytornis striatus,,,high,Striated Grasswren; not in BirdNET
III,30,Amytis macrourus,Large-tailed Wren,Amytornis textilis,,,high,macrourus Gould = WA Western Grasswren; not in BirdNET
III,31,Stipiturus malachurus,Emu Wren,Stipiturus malachurus,Stipiturus malachurus,Southern Emuwren,high,Southern Emuwren
III,32,Dasyornis Australis,Bristle-Bird,Dasyornis brachypterus,Dasyornis brachypterus,Eastern Bristlebird,high,Dasyornis australis = Eastern Bristlebird
III,33,Dasyornis longirostris,Long-billed Bristle-Bird,Dasyornis longirostris,Dasyornis longirostris,Western Bristlebird,high,Western Bristlebird
III,34,Atrichia clamosa,Noisy Brush-bird,Atrichornis clamosus,Atrichornis clamosus,Noisy Scrub-bird,high,Noisy Scrub-bird
III,35,Sphenoeacus galactotes,Tawny Sphenœacus,Cincloramphus timoriensis,Cincloramphus timoriensis,Tawny Grassbird,high,Sphenoeacus galactotes = Tawny Grassbird
III,36,Sphenoeacus gramineus,Grass-loving Sphenœacus,Poodytes gramineus,Poodytes gramineus,Little Grassbird,high,Little Grassbird
III,37,Acrocephalus Australis,Reed Warbler,Acrocephalus australis,Acrocephalus australis,Australian Reed Warbler,high,Australian Reed Warbler
III,38,Acrocephalus longirostris,Long-billed Reed Warbler,Acrocephalus australis,Acrocephalus australis,Australian Reed Warbler,high,longirostris Gould = WA birds of Australian Reed Warbler
III,39,Hylacola pyrrhopygia,Red-rumped Wren,Hylacola pyrrhopygia,,,high,Chestnut-rumped Heathwren; not in BirdNET
III,40,Hylacola cauta,Cautious Wren,Hylacola cauta,Hylacola cauta,Shy Heathwren,high,Shy Heathwren
III,41,Cysticola magna,Great Warbler,Cisticola sp.,Cisticola exilis,Golden-headed Cisticola,low,"magna Gould: one specimen of unknown locality (Strickland); identity unresolved, perhaps a non-Australian Cisticola"
III,42,Cysticola exilis,Exile Warbler,Cisticola exilis,Cisticola exilis,Golden-headed Cisticola,high,Golden-headed Cisticola
III,43,Cysticola lineocapilla,Lineated Warbler,Cisticola exilis,Cisticola exilis,Golden-headed Cisticola,high,lineocapilla = N race of Golden-headed Cisticola
III,44,Cysticola isura,Square-tailed Warbler,Cisticola exilis,Cisticola exilis,Golden-headed Cisticola,medium,isura Gould = Golden-headed Cisticola (Gould himself doubted it distinct; female/non-breeding)
III,45,Cysticola ruficeps,Rufous-headed Warbler,Cisticola exilis,Cisticola exilis,Golden-headed Cisticola,medium,ruficeps Gould = Golden-headed Cisticola plumage (uniform rufous head)
III,46,Sericornis citreogularis,Yellow-throated Sericornis,Sericornis citreogularis,Sericornis citreogularis,Yellow-throated Scrubwren,high,Yellow-throated Scrubwren
III,47,Sericornis humilis,Sombre-coloured Sericornis,Sericornis humilis,Sericornis humilis,Tasmanian Scrubwren,high,Tasmanian Scrubwren
III,48,Sericornis osculans,Allied Sericornis,Sericornis frontalis,Sericornis frontalis,White-browed Scrubwren,high,osculans Gould (S Aus) = White-browed Scrubwren (Clements lumps Spotted forms)
III,49,Sericornis frontalis,White-fronted Sericornis,Sericornis frontalis,Sericornis frontalis,White-browed Scrubwren,high,White-browed Scrubwren
