volume,plate,leaf,gould_english,gould_latin,text_leaf,survey_tier,modern_sci,form,confidence,birdnet_sci,birdnet_common,ku_id,ku_sci,ku_english,decision,reason
I,14,80,Bay Owl,Phodilus badius,yes,exact,Phodilus badius,,high,Phodilus badius,Oriental Bay-Owl,ku-gould:17678,Phodilus badius,Oriental Bay Owl,pinned,
I,15,84,Brodie's Owlet,Athene Brodiei,yes,probable,Taenioptynx brodiei,,high,Taenioptynx brodiei,Collared Owlet,ku-gould:17674,Glaucidium brodiei,Collared Owlet,pinned,
I,16,88,Speckled Wood-Owl,Syrnium ocellatum,yes,probable,Strix ocellata,,high,Strix ocellata,Mottled Wood-Owl,ku-gould:17670,Strix ocellata,Mottled Wood Owl,pinned,
I,17,92,Indian Screech Owl,Strix indica,yes,form,Tyto alba,subspecies,medium,Tyto alba,Barn Owl,ku-gould:17666,Athene brama indica,Spotted Owlet,left out (form),
I,18,96,Grass-Owl,Strix candida,yes,not_in_birdnet,,,none,,,ku-gould:17662,Tyto capensis,Grass Owl,left out (not in BirdNET),
I,19,100,Mahratta Nightjar,Caprimulgus Mahrattensis,yes,not_in_birdnet,,,none,,,ku-gould:17658,Caprimulgus mahrattensis,Sykes's Nightjar,left out (not in BirdNET),
I,20,104,Palm Roof-Swift,Cypselus infumatus,yes,form,Cypsiurus balasiensis,subspecies,low,Cypsiurus balasiensis,Asian Palm-Swift,ku-gould:17654,Cypsiurus parvus,African Palm Swift,left out (form),the survey's form assignment; the Kansas catalogue reads Cypsiurus parvus (African Palm Swift)
I,21,108,Crested Tree-Swift,Dendrochelidon coronatus,yes,probable,Hemiprocne coronata,,high,Hemiprocne coronata,Crested Treeswift,ku-gould:17650,Hemiprocne coronata,Crested Treeswift,pinned,
I,22,112,Klecho Tree-Swift,Dendrochelidon Klecho,yes,form,Hemiprocne longipennis,subspecies,medium,Hemiprocne longipennis,Gray-rumped Treeswift,ku-gould:17646,Hemiprocne longipennis,Grey-rumped Treeswift,left out (form),
I,23,116,Wallace's Tree-Swift,Dendrochelidon Wallacei,yes,form,Hemiprocne longipennis,subspecies,medium,Hemiprocne longipennis,Gray-rumped Treeswift,ku-gould:17642,Hemiprocne longipennis wallacii,Grey-rumped Treeswift,left out (form),
I,24,120,Bearded Tree-Swift,Dendrochelidon mystaceus,yes,probable,Hemiprocne mystacea,,high,Hemiprocne mystacea,Moustached Treeswift,ku-gould:17638,Hemiprocne mystacea,Moustached Treeswift,pinned,
I,25,124,Hooded Tree-Swift,Dendrochelidon comatus,yes,probable,Hemiprocne comata,,high,Hemiprocne comata,Whiskered Treeswift,ku-gould:17634,Hemiprocne comata,Whiskered Treeswift,pinned,
I,26,128,Wire-tailed Swallow,Hirundo filifera,yes,form,Hirundo smithii,subspecies,medium,Hirundo smithii,Wire-tailed Swallow,ku-gould:17630,Hirundo smithii,Wire-tailed Swallow,left out (form),
I,27,132,Western Mosque-Swallow,Cecropis rufula,yes,form,Cecropis daurica,subspecies,medium,Cecropis daurica,Red-rumped Swallow,ku-gould:17626,Hirundo (Cecropis) daurica rufula,European Striated Swallow,left out (form),
I,28,136,Daurian Mosque-Swallow,Cecropis Daurica,yes,exact,Cecropis daurica,,high,Cecropis daurica,Red-rumped Swallow,ku-gould:17622,Hirundo (Cecropis) daurica,European Striated Swallow,pinned,
I,29,140,Indian Mosque-Swallow,Cecropis erythropygia,yes,form,Cecropis daurica,subspecies,medium,Cecropis daurica,Red-rumped Swallow,ku-gould:17618,Hirundo (Cecropis) daurica erythropygia,Indian Striated Swallow,left out (form),
I,30,144,Ceylonese Mosque-Swallow,Cecropis hyperythra,yes,not_in_birdnet,,,none,,,ku-gould:17614,Hirundo (Cecropis) hyperythra,Sri Lanka Swallow,left out (not in BirdNET),
I,31,148,Nepal Martin-Swallow,Delichon Nipalensis,yes,not_in_birdnet,,,none,,,ku-gould:17610,Delichon nipalense,"Nepal House Martin, Nepal Martin",left out (not in BirdNET),
I,32,152,Bungalow Swallow,Hypurolepis domicola,yes,not_in_birdnet,,,none,,,ku-gould:17606,Hirundo domicola,Hill Swallow,left out (not in BirdNET),
I,33,156,Indian Cliff-Swallow,Lagenoplastes fluvicola,yes,probable,Petrochelidon fluvicola,,high,Petrochelidon fluvicola,Streak-throated Swallow,ku-gould:17602,Hirundo fluvicola,"Streak-throated Swallow, Indian Cliff Swallow",pinned,
I,34,160,Pirik Bee-eater,Merops quinticolor,yes,probable,Merops leschenaulti,,high,Merops leschenaulti,Chestnut-headed Bee-eater,ku-gould:17598,Merops leschenaulti quinticolor,Chestnut-headed Bee-eater,pinned,
I,35,164,Hurrial Bee-eater,Merops viridis,yes,exact,Merops orientalis,,judged,Merops orientalis,Green Bee-eater,ku-gould:17594,Merops viridis,Blue-throated Bee-eater,pinned,"pinned by the bird: all green, golden crown, black gorget; printed Merops viridis (Wells)"
I,36,168,Philippine Bee-eater,Merops Philippinus,yes,exact,Merops philippinus,,high,Merops philippinus,Blue-tailed Bee-eater,ku-gould:17590,Merops philippinus,Blue-tailed Bee-eater,pinned,
I,37,172,Blue-throated Nyctiornis,Nyctiornis Athertoni,yes,probable,Nyctyornis athertoni,,high,Nyctyornis athertoni,Blue-bearded Bee-eater,ku-gould:17586,Nyctyornis athertoni,Blue-bearded Bee-eater,pinned,
I,38,176,Red-throated Nyctiornis,Nyctiornis amictus,yes,probable,Nyctyornis amictus,,high,Nyctyornis amictus,Red-bearded Bee-eater,ku-gould:17582,Nyctyornis athertoni,Blue-bearded Bee-eater,pinned,
I,39,180,Forsten's Bee-eater,Meropogon Forsteni,yes,not_in_birdnet,,,none,,,ku-gould:17578,Meropogon forsteni,Purple-bearded Bee-eater,left out (not in BirdNET),
I,40,184,Hombron's Kingfisher,Actenoides Hombroni,yes,not_in_birdnet,,,none,,,ku-gould:17574,Actenoides hombroni,Hombron's Kingfisher,left out (not in BirdNET),
I,41,188,Lindsay's Kingfisher,Actenoides Lindsayi,yes,exact,Actenoides lindsayi,,high,Actenoides lindsayi,Spotted Kingfisher,ku-gould:17570,Actenoides lindsayi,Spotted Wood Kingfisher,pinned,
I,42,192,Sumatra Kingfisher,Actenoides concretus,yes,exact,Actenoides concretus,,high,Actenoides concretus,Rufous-collared Kingfisher,ku-gould:17566,Actenoides concretus,Rufous-collared Kingfisher,pinned,
I,43,196,Indian Kingfisher,Halcyon fusca,yes,form,Halcyon smyrnensis,subspecies,medium,Halcyon smyrnensis,White-throated Kingfisher,ku-gould:17562,Halcyon smyrnensis fusca,White-throated Kingfisher,left out (form),
I,44,200,Manilla Kingfisher,Halcyon gularis,yes,exact,Halcyon gularis,,high,Halcyon gularis,Brown-breasted Kingfisher,ku-gould:17558,Halcyon smyrnensis gularis,White-throated Kingfisher,pinned,
I,45,204,Black-capped Kingfisher,Halcyon atricapillus,yes,probable,Halcyon pileata,,high,Halcyon pileata,Black-capped Kingfisher,ku-gould:17554,Halcyon pileata,Black-capped Kingfisher,pinned,
I,46,208,Blue-and-white Kingfisher,Halcyon fulgidus,yes,not_in_birdnet,,,none,,,ku-gould:17550,Caridonax fulgidus,Glittering Kingfisher,left out (not in BirdNET),
I,47,212,Many-coloured Kingfisher,Halcyon omnicolor,yes,form,Todiramphus chloris,subspecies,low,Todiramphus chloris,Collared Kingfisher,ku-gould:17546,Halcyon cyanoventris,Javan Kingfisher,left out (form),the survey's form assignment; the Kansas catalogue reads Halcyon cyanoventris (Javan Kingfisher)
I,48,216,Banded Kingfisher,Carcineutes pulchellus,yes,probable,Lacedo pulchella,,high,Lacedo pulchella,Banded Kingfisher,ku-gould:17542,Lacedo pulchella,Banded Kingfisher,pinned,
I,49,220,Black-faced Kingfisher,Carcineutes melanops,yes,none,,,none,,,ku-gould:17538,Lacedo pulchella melanops,Banded Kingfisher,left out (no modern name),
I,50,224,Tenasserim Kingfisher,Carcineutes amabilis,yes,form,Lacedo pulchella,subspecies,medium,Lacedo pulchella,Banded Kingfisher,ku-gould:17534,Lacedo pulchella,Banded Kingfisher,left out (form),
I,51,228,Mantled Kingfisher,Dacelo Tyro,yes,unsure,Dacelo tyro,,high,,,ku-gould:17530,Dacelo tyro,Spangled Kookaburra,left out,"the Spangled Kookaburra (KU), not in BirdNET"
I,52,232,Great Alcedo,Alcedo grandis,yes,not_in_birdnet,,,none,,,ku-gould:17526,Alcedo hercules,Blyth's Kingfisher,left out (not in BirdNET),
I,53,236,Indian Kingfisher,Alcedo Bengalensis,yes,form,Alcedo atthis,subspecies,medium,Alcedo atthis,Common Kingfisher,ku-gould:17522,Alcedo atthis,Common Kingfisher,left out (form),
I,54,240,Indian Roller,Coracias indica,yes,probable,Coracias benghalensis,,high,Coracias benghalensis,Indian Roller,ku-gould:17518,Coracias benghalensis,Indian Roller,pinned,
I,55,244,Burmese Roller,Coracias affinis,yes,not_in_birdnet,,,none,,,ku-gould:17514,Coracias benghalensis affinis,Indian Roller,left out (not in BirdNET),
I,56,248,Temminck's Roller,Coracias Temmincki,yes,not_in_birdnet,,,none,,,ku-gould:17510,Coracias temminckii,"Purple-winged Roller, Sulawesi Roller",left out (not in BirdNET),
I,57,252,Javan Eurylaime,Eurylaimus Javanicus,yes,exact,Eurylaimus javanicus,,high,Eurylaimus javanicus,Banded Broadbill,ku-gould:17506,Eurylaimus javanicus,Banded Broadbill,pinned,
I,58,256,Hooded Eurylaime,Eurylaimus ochromelas,yes,not_in_birdnet,,,none,,,ku-gould:17502,Eurylaimus ochromalus,Black-and-yellow Broadbill,left out (not in BirdNET),
I,59,260,Great-billed Eurylaime,Cymbirhynchus macrorhynchus,yes,probable,Cymbirhynchus macrorhynchos,,high,Cymbirhynchus macrorhynchos,Black-and-red Broadbill,ku-gould:17498,Cymbirhynchus macrorhynchos,Black-and-red Broadbill,pinned,
I,60,264,Allied Eurylaime,Cymbirhynchus affinis,yes,form,Cymbirhynchus macrorhynchos,subspecies,medium,Cymbirhynchus macrorhynchos,Black-and-red Broadbill,ku-gould:17494,Cymbirhynchus macrorhynchos affinis,Black-and-red Broadbill,left out (form),
I,61,268,Great Eurylaime,Corydon Sumatranus,yes,exact,Corydon sumatranus,,high,Corydon sumatranus,Dusky Broadbill,ku-gould:17490,Corydon sumatranus,Dusky Broadbill,pinned,
I,62,272,Lunated Eurylaime,Serilophus lunatus,yes,exact,Serilophus lunatus,,high,Serilophus lunatus,Silver-breasted Broadbill,ku-gould:17486,Serilophus lunatus,Silver-breasted Broadbill,pinned,
I,63,276,Red-backed EEurylaime,Serilophus rubropygius,yes,form,Serilophus lunatus,subspecies,medium,Serilophus lunatus,Silver-breasted Broadbill,ku-gould:17482,Serilophus lunatus rubropygius,Silver-breasted Broadbill,left out (form),
I,64,280,Dalhousie's Eurylaime,Psarisoinus Dalhousie,yes,probable,Psarisomus dalhousiae,,high,Psarisomus dalhousiae,Long-tailed Broadbill,ku-gould:17478,Psarisomus dalhousiae,Long-tailed Broadbill,pinned,
I,65,284,Steere's Broadbill,Sarcophanops Steerii,yes,not_in_birdnet,,,none,,,ku-gould:17474,Sarcophanops steerii,Steere's Broadbill,left out (not in BirdNET),
I,66,288,Indian Hoopoe,Upupa nigripennis,yes,form,Upupa epops,subspecies,medium,Upupa epops,Eurasian Hoopoe,ku-gould:17470,Upupa epops,"Common Hoopoe, Eurasian Hoopoe, Hoopoe",left out (form),
I,67,292,Duvaucel's Trogon,Harpactes Duvauceli,yes,probable,Harpactes duvaucelii,,high,Harpactes duvaucelii,Scarlet-rumped Trogon,ku-gould:17466,Trogon personatus,Masked Trogon,pinned,
I,68,296,Malacca Trogon,Harpactes rutilus,yes,form,Harpactes duvaucelii,subspecies,medium,Harpactes duvaucelii,Scarlet-rumped Trogon,ku-gould:17462,Trogon collaris puella,"Collared Trogon, Trogón de collar",left out (form),
I,69,300,Hodgson's Trogon,Harpactes Hodgsoni,yes,form,Harpactes erythrocephalus,subspecies,medium,Harpactes erythrocephalus,Red-headed Trogon,ku-gould:17458,Trogon violaceus ramonianus,"Violaceous Trogon, Trogón violáceo",left out (form),
I,70,304,Diard's Trogon,Harpactes Diardi,yes,probable,Harpactes diardii,,high,Harpactes diardii,Diard's Trogon,ku-gould:17454,Trogon melanocephalus,"Black-headed Trogon, Trogón cabeza negra",pinned,
I,71,308,Mountain Trogon,Harpactes Oreskios,yes,exact,Harpactes oreskios,,high,Harpactes oreskios,Orange-breasted Trogon,ku-gould:17450,Trogon viridis,"Amazonian White-tailed Trogon, White-tailed Trogon",pinned,
I,72,312,Reinwardt's Trogon,Harpactes Reinwardti,yes,not_in_birdnet,,,none,,,ku-gould:17446,Trogon rufus tenellus,Black-throated Trogon,left out (not in BirdNET),
I,73,316,Macklot's Trogon,Harpactes Mackloti,yes,not_in_birdnet,,,none,,,ku-gould:17442,Trogon curucui,Blue-crowned Trogon,left out (not in BirdNET),
I,74,320,Kasumba Trogon,Harpactes Kasumba,yes,exact,Harpactes kasumba,,high,Harpactes kasumba,Red-naped Trogon,ku-gould:17438,Trogon melanurus,Black-tailed Trogon,pinned,
I,75,324,Fasciated Trogon,Harpactes fasciatus,yes,exact,Harpactes fasciatus,,high,Harpactes fasciatus,Malabar Trogon,ku-gould:17434,Trogon violaceus,"Violaceous Trogon, Trogón violáceo",pinned,
I,76,328,Rosy-breasted Trogon,Harpactes ardens,yes,exact,Harpactes ardens,,high,Harpactes ardens,Philippine Trogon,ku-gould:17430,Trogon mexicanus,"Mountain Trogon, Trogón mexicano",pinned,
II,1,12,Green Cochoa,Cochoa viridis,yes,exact,Cochoa viridis,,high,Cochoa viridis,Green Cochoa,ku-gould:17380,Cochoa viridis,Green Cochoa,pinned,
II,2,16,Purple Cochoa,Cochoa purpurea,yes,none,,,none,,,ku-gould:17376,Cochoa purpurea,Purple Cochoa,left out (no modern name),
II,3,20,Grey-throated Pericrocotus,Pericrocotus griseogularis,yes,form,Pericrocotus solaris,subspecies,medium,Pericrocotus solaris,Gray-chinned Minivet,ku-gould:17372,Pericrocotus solaris,Grey-chinned Minivet,left out (form),
II,4,24,Canton Pericrocotus,Pericrocotus cantonensis,yes,exact,Pericrocotus cantonensis,,high,Pericrocotus cantonensis,Brown-rumped Minivet,ku-gould:17368,Pericrocotus cantonensis,Swinhoe's Minivet,pinned,
II,5,28,Yellow-throated Pericrocotus,Pericrocotus solaris,yes,exact,Pericrocotus solaris,,high,Pericrocotus solaris,Gray-chinned Minivet,ku-gould:17364,Pericrocotus solaris,Grey-chinned Minivet,pinned,
II,6,32,Cawnpore Pericrocotus,Pericrocotus erythropygius,yes,exact,Pericrocotus erythropygius,,high,Pericrocotus erythropygius,White-bellied Minivet,ku-gould:17360,Pericrocotus erythropygius,White-bellied Minivet,pinned,
II,7,36,Great Pericrocotus,Pericrocotus speciosus,yes,exact,Pericrocotus speciosus,,high,Pericrocotus speciosus,Scarlet Minivet,ku-gould:17356,Pericrocotus flammeus,Scarlet Minivet,pinned,
II,8,40,Orange Pericrocotus,Pericrocotus flammeus,yes,exact,Pericrocotus flammeus,,high,Pericrocotus flammeus,Orange Minivet,ku-gould:17352,Pericrocotus flammeus,Scarlet Minivet,pinned,
II,9,44,Little Pericrocotus,Pericrocotus peregrinus,yes,probable,Pericrocotus cinnamomeus,,high,Pericrocotus cinnamomeus,Small Minivet,ku-gould:17348,Pericrocotus cinnamomeus,Small Minivet,pinned,
II,10,48,Rosy Pericrocotus,Pericrocotus roseus,yes,not_in_birdnet,,,none,,,ku-gould:17344,Pericrocotus roseus,Rosy Minivet,left out (not in BirdNET),
II,11,52,Grey Pericrocotus,Pericrocotus cinereus,yes,probable,Pericrocotus divaricatus,,high,Pericrocotus divaricatus,Ashy Minivet,ku-gould:17340,Pericrocotus divaricatus,Ashy Minivet,pinned,
II,12,56,Philippine-Island Thickhead,Hylopterpe philippinensis,yes,probable,Pachycephala philippinensis,,high,Pachycephala philippinensis,Yellow-bellied Whistler,ku-gould:17336,Pachycephala philippinensis,Yellow-bellied Whistler,pinned,
II,13,60,Grey-headed Pteruthius,Pteruthius eralatus,yes,probable,Pteruthius aeralatus,,high,Pteruthius aeralatus,Blyth's Shrike-Babbler,ku-gould:17332,Pteruthius flaviscapis,White-browed Shrike-Babbler,pinned,
II,14,64,Himalayan Pteruthius,Pteruthius erythropterus,yes,form,Pteruthius aeralatus,subspecies,low,Pteruthius aeralatus,Blyth's Shrike-Babbler,ku-gould:17328,Pteruthius flaviscapis,White-browed Shrike-Babbler,left out (form),the survey's form assignment; the Kansas catalogue reads Pteruthius flaviscapis (White-browed Shrike-Babbler)
II,15,68,Rufous-bellied Pteruthius,Pteruthius rufiventer,yes,exact,Pteruthius rufiventer,,high,Pteruthius rufiventer,Black-headed Shrike-Babbler,ku-gould:17324,Pteruthius rufiventer,Black-headed Shrike-Babbler,pinned,
II,16,72,Black-eared Allotrius,Allotrius melanotis,yes,probable,Pteruthius melanotis,,high,Pteruthius melanotis,Black-eared Shrike-Babbler,ku-gould:17320,Pteruthius melanotis,Black-eared Shrike-Babbler,pinned,
II,17,76,Yellow-green Allotrius,Allotrius xanthochloris,genus only,probable,Pteruthius xanthochlorus,,high,Pteruthius xanthochlorus,Green Shrike-Babbler,ku-gould:17316,Pteruthius xanthochlorus,Green Shrike-Babbler,pinned,
II,18,80,Paradise Flycatcher,Muscipeta Paradisi,yes,probable,Terpsiphone paradisi,,high,Terpsiphone paradisi,Indian Paradise-Flycatcher,ku-gould:17312,Terpsiphone paradisi,Asian Paradise Flycatcher,pinned,
II,19,84,Ince's Paradise Flycatcher,Muscipeta Incei,yes,probable,Terpsiphone incei,,high,Terpsiphone incei,Amur Paradise-Flycatcher,ku-gould:17308,Terpsiphone paradisi,Asian Paradise Flycatcher,pinned,
II,20,88,Grand Niltava,Niltava grandis,yes,exact,Niltava grandis,,high,Niltava grandis,Large Niltava,ku-gould:17304,Niltava grandis,Large Niltava,pinned,
II,21,92,Sundara Niltava,Niltava Sundara,yes,exact,Niltava sundara,,high,Niltava sundara,Rufous-bellied Niltava,ku-gould:17300,Niltava sundara,Rufous-bellied Niltava,pinned,
II,22,96,MacGregor's Niltava,Niltava MacGregoriae,yes,probable,Niltava macgrigoriae,,high,Niltava macgrigoriae,Small Niltava,ku-gould:17296,Niltava macgrigoriae,Small Niltava,pinned,
II,23,100,Jericho Sun-bird,Nectarinia Osea,yes,probable,Cinnyris osea,,high,Cinnyris osea,Palestine Sunbird,ku-gould:17292,Nectarinia osea,Nectarinia osea,pinned,
II,24,104,Ceylonese Sun-bird,Nectarinia Zelonica,yes,probable,Leptocoma zeylonica,,high,Leptocoma zeylonica,Purple-rumped Sunbird,ku-gould:17288,Nectarinia zeylonica,Nectarinia zeylonica,pinned,
II,25,108,Penang Sun-bird,Nectarinia insignis,yes,form,Aethopyga siparaja,subspecies,low,Aethopyga siparaja,Crimson Sunbird,ku-gould:17284,Nectarinia calcostetha,Nectarinia calcostetha,left out (form),the survey's form assignment; the Kansas catalogue reads Nectarinia calcostetha (Nectarinia calcostetha)
II,26,112,Mrs. Gould's Sun-bird,Nectarinia Gouldiae,yes,probable,Aethopyga gouldiae,,high,Aethopyga gouldiae,Mrs. Gould's Sunbird,ku-gould:17280,Aethopyga gouldiae,Mrs. Gould's Sunbird,pinned,
II,27,116,Black-breasted Sun-bird,Nectarinia saturata,yes,probable,Aethopyga saturata,,high,Aethopyga saturata,Black-throated Sunbird,ku-gould:17276,Aethopyga saturata,Black-throated Sunbird,pinned,
II,28,120,Fiery-tailed Sun-bird,Nectarinia ignicauda,yes,probable,Aethopyga ignicauda,,high,Aethopyga ignicauda,Fire-tailed Sunbird,ku-gould:17272,Aethopyga ignicauda,Fire-tailed Sunbird,pinned,
II,29,124,Goulpourah Sun-bird,Nectarinia Goalpariensis,genus only,form,Aethopyga siparaja,subspecies,medium,Aethopyga siparaja,Crimson Sunbird,ku-gould:17268,Aethopyga siparaja,Crimson Sunbird,left out (form),
II,30,128,Vigors' Sun-bird,Nectarinia Vigorsii,yes,probable,Aethopyga vigorsii,,high,Aethopyga vigorsii,Vigors's Sunbird,ku-gould:17264,Aethopyga siparaja,Crimson Sunbird,pinned,
II,31,132,Nepaulese Sun-bird,Nectarinia Nipalensis,yes,probable,Aethopyga nipalensis,,high,Aethopyga nipalensis,Green-tailed Sunbird,ku-gould:17260,Aethopyga nipalensis,Green-tailed Sunbird,pinned,
II,32,136,Asiatic Sun-bird,Nectarinia Asiatica,yes,probable,Cinnyris asiaticus,,high,Cinnyris asiaticus,Purple Sunbird,ku-gould:17256,Nectarinia asiatica,Nectarinia asiatica,pinned,
II,33,140,Loten's Sun-bird,Nectarinia Lotenia,yes,probable,Cinnyris lotenius,,high,Cinnyris lotenius,Loten's Sunbird,ku-gould:17252,Nectarinia lotenia,Nectarinia lotenia,pinned,
II,34,144,Plain Zosterops,Zosterops simplex,yes,exact,Zosterops simplex,,high,Zosterops simplex,Swinhoe's White-eye,ku-gould:17248,Zosterops japonicus  simplex,Japanese White-eye,pinned,
II,35,148,Chestnut-sided Zosterops,Zosterops erythropleura,yes,probable,Zosterops erythropleurus,,high,Zosterops erythropleurus,Chestnut-flanked White-eye,ku-gould:17244,Zosterops erythropleurus,Chestnut-flanked White-eye,pinned,
II,36,152,Red-collared Diceum,Diceum retrocinctum,genus only,none,,,none,,,ku-gould:17240,Dicaeum retrocinctum,Scarlet-collared Flowerpecker,left out (no modern name),
II,37,156,Yellow-throated Diceum,Diceum dorsale,yes,none,,,none,,,ku-gould:17236,Dicaeum trigonostigma,Orange-bellied Flowerpecker,left out (no modern name),
II,38,160,Red-backed Dicaeum,Diceum cruentum,genus only,probable,Dicaeum cruentatum,,high,Dicaeum cruentatum,Scarlet-backed Flowerpecker,ku-gould:17232,Dicaeum cruentatum,Scarlet-backed Flowerpecker,pinned,
II,39,164,Pryer's Dicaeum,Diceum Pryeri,yes,none,,,none,,,ku-gould:17228,Dicaeum cruentatum,Scarlet-backed Flowerpecker,left out (no modern name),
II,40,168,Fire-breasted Myzanthe,Myzanthe ignipectus,yes,probable,Dicaeum ignipectus,,high,Dicaeum ignipectus,Fire-breasted Flowerpecker,ku-gould:17224,Dicaeum ignipectus,Fire-breasted Flowerpecker,pinned,
II,41,172,Legge's Flower-pecker,Prionochilus vincens,yes,not_in_birdnet,,,none,,,ku-gould:17220,Dicaeum vincens,Legge's Flowerpecke,left out (not in BirdNET),
II,42,176,Naga Nuthatch,Sitta nagaensis,yes,exact,Sitta nagaensis,,high,Sitta nagaensis,Chestnut-vented Nuthatch,ku-gould:17216,Sitta nagaensis,Chestnut-vented Nuthatch,pinned,
II,43,180,Beautiful Nuthatch,Sitta formosa,yes,not_in_birdnet,,,none,,,ku-gould:17212,Sitta Formosa,Beautiful Nuthatch,left out (not in BirdNET),
II,44,184,Cinnamon-bellied Nuthatch,Sitta cinnamomeoventris,yes,probable,Sitta cinnamoventris,,high,Sitta cinnamoventris,Chestnut-bellied Nuthatch,ku-gould:17208,Sitta castanea,Chestnut-bellied Nuthatch,pinned,
II,45,188,Chestnut-bellied Nuthatch,Sitta castaneoventris,yes,not_in_birdnet,,,none,,,ku-gould:17204,Sitta castanea,Chestnut-bellied Nuthatch,left out (not in BirdNET),
II,46,192,White-faced Nuthatch,Sitta leucopsis,yes,not_in_birdnet,,,none,,,ku-gould:17200,Sitta leucopsis,White-cheeked Nuthatch,left out (not in BirdNET),
II,47,196,Himalayan Nuthatch,Sitta Himalayensis,yes,exact,Sitta himalayensis,,high,Sitta himalayensis,White-tailed Nuthatch,ku-gould:17196,Sitta himalayensis,White-tailed Nuthatch,pinned,
II,48,200,White-naped Tit,Parus venustulus,yes,probable,Periparus venustulus,,high,Periparus venustulus,Yellow-bellied Tit,ku-gould:17192,Periparus venustulus,Yellow-bellied Tit,pinned,
II,49,204,Chestnut-bellied Tit,Parus castaneoventris,yes,probable,Sittiparus castaneoventris,,high,Sittiparus castaneoventris,Chestnut-bellied Tit,ku-gould:17188,Sitta castanea,Chestnut-bellied Nuthatch,pinned,
II,50,208,Elegant Tit,Parus elegans,yes,probable,Periparus elegans,,high,Periparus elegans,Elegant Tit,ku-gould:17184,Periparus elegans,Elegant Tit,pinned,
II,51,212,Sultan Tit,Melanochlora Sultanea,yes,exact,Melanochlora sultanea,,high,Melanochlora sultanea,Sultan Tit,ku-gould:17180,Melanochlora sultanea,Sultan Tit,pinned,
II,52,216,Yellow-cheeked Tit,Parus xanthogenys,yes,probable,Machlolophus xanthogenys,,high,Machlolophus xanthogenys,Himalayan Black-lored Tit,ku-gould:17176,Parus xanthogenys,Black-lored Tit,pinned,
II,53,220,Spotted Tit,Parus Spilonotus,yes,probable,Machlolophus spilonotus,,high,Machlolophus spilonotus,Yellow-cheeked Tit,ku-gould:17172,Parus spilonotus,Yellow-cheeked Tit,pinned,
II,54,224,Jerdon's Tit,Parus Jerdoni,yes,form,Machlolophus xanthogenys,subspecies,medium,Machlolophus xanthogenys,Himalayan Black-lored Tit,ku-gould:17168,Parus xanthogenys,Black-lored Tit,left out (form),
