plate,gould_english,gould_latin,birdnet_sci,birdnet_common,form,confidence,sci_synonyms,reason
66,Great Shrike,Collurio Excubitor,Lanius excubitor,Great Gray Shrike,,high,,Great Grey Shrike L. excubitor; the American/NE Asian Northern Shrike (L. borealis) is split off and is not Gould's bird
67,Great Grey Shrike,Collurio meridionalis,Lanius meridionalis,Iberian Gray Shrike,,high,,"Lanius meridionalis Temm. = the southern (Iberian) grey shrike, now Iberian Grey Shrike. Trap: Gould's English ""Great Grey Shrike"" is on this plate, not the excubitor one"
68,Lesser Grey Shrike,Collurio minor,Lanius minor,Lesser Gray Shrike,,high,,Collurio minor Vig. = Lanius minor (Lesser Gray Shrike); same species
69,Red-backed Shrike,Lanius Collurio,Lanius collurio,Red-backed Shrike,,high,,Lanius Collurio Linn. = Lanius collurio (Red-backed Shrike); same species
70,Woodchat,Lanius rufus,Lanius senator,Woodchat Shrike,,high,,Lanius rufus Briss. = Woodchat Shrike L. senator
71,Golden Oriole,Oriolus galbula,Oriolus oriolus,Eurasian Golden Oriole,,high,,Oriolus galbula Linn. = Eurasian Golden Oriole
72,"Black Ouzel, or Blackbird",Merula vulgaris,Turdus merula,Eurasian Blackbird,,high,,Merula vulgaris = Eurasian Blackbird
73,Ring Ouzel,Merula torquata,Turdus torquatus,Ring Ouzel,,high,,Ring Ouzel
74,Migratory Ouzel,Merula migratoria,Turdus migratorius,American Robin,,high,,Turdus migratorius = American Robin
75,Black-throated Thrush,Turdus atrogularis,Turdus atrogularis,Black-throated Thrush,,high,,Black-throated Thrush (split from Dark-throated; Gould's name is the black-throated form)
76,Fieldfare,Turdus pilaris,Turdus pilaris,Fieldfare,,high,,Turdus pilaris Linn. = Turdus pilaris (Fieldfare); same species
77,Missel Thrush,Turdus viscivorus,Turdus viscivorus,Mistle Thrush,,high,,Turdus viscivorus Linn. = Turdus viscivorus (Mistle Thrush); same species
78,Song Thrush,Turdus musicus,Turdus philomelos,Song Thrush,,high,Turdus musicus,Gould used Turdus musicus for the Song Thrush (T. philomelos); the Redwing is its companion on this plate. Trap: Linnaeus's musicus is now read as the Redwing
78,Redwing,Turdus Iliacus,Turdus iliacus,Redwing,,high,,Redwing
79,Naumann's Thrush,Turdus Naumannii,Turdus naumanni,Naumann's Thrush,,high,,Naumann's Thrush (Dusky Thrush T. eunomus split off)
80,Pallid Thrush,Turdus pallidus,,,,low,,"Name = Pale Thrush (T. pallidus), but the European ""pallidus"" of Temminck's era was often the Eyebrowed Thrush (T. obscurus); cannot tell which Gould figured. Blank"
81,White's Thrush,Turdus Whitei,Zoothera aurea,White's Thrush,,high,Zoothera dauma,"White's Thrush, the Siberian bird now split from Scaly Thrush Z. dauma as Z. aurea"
82,Siberian Thrush,Turdus Sibericus,Geokichla sibirica,Siberian Thrush,,high,Zoothera sibirica,Siberian Thrush
83,Water Ouzel,Cinclus aquaticus,Cinclus cinclus,White-throated Dipper,,high,,Cinclus aquaticus Bechst. = White-throated Dipper
84,Black-bellied Water Ouzel,Cinclus melanogaster,Cinclus cinclus,White-throated Dipper,subspecies,high,,"Black-bellied Dipper is C. cinclus cinclus (N Europe), a form of White-throated Dipper"
85,Pallas's Water Ouzel,Cinclus Pallasii,Cinclus pallasii,Brown Dipper,,high,,Pallas's (Brown) Dipper
86,Rock Thrush,Petrocincla saxatilis,Monticola saxatilis,Rufous-tailed Rock-Thrush,,high,,Rock Thrush
87,Blue Thrush,Petrocincla cyanea,Monticola solitarius,Blue Rock-Thrush,,high,,Petrocincla cyanea = Blue Rock Thrush
88,Black Wheatear,Saxicola cachinnans,Oenanthe leucura,Black Wheatear,,high,,Saxicola cachinnans Temm. = Black Wheatear O. leucura
89,Pied Wheatear,Saxicola leucomela,Oenanthe pleschanka,Pied Wheatear,,high,Oenanthe leucomela,Saxicola leucomela Temm. = Pied Wheatear O. pleschanka
90,Wheatear,Saxicola Œnanthe,Oenanthe oenanthe,Northern Wheatear,,high,,Saxicola Œnanthe Bechst. = Oenanthe oenanthe (Northern Wheatear); same species
91,Russet Wheatear,Saxicola stapazina,,,subspecies,low,,"Temminck's stapazina (Russet Wheatear) is the black-throated morph of the Black-eared Wheatear, now split Western (O. hispanica) / Eastern (O. melanoleuca); cannot tell from the name which population Gould figured. Blank"
92,Black-eared Wheatear,Saxicola aurita,,,subspecies,low,,"Pale-throated morph of the Black-eared Wheatear, now split Western (O. hispanica) / Eastern (O. melanoleuca); population not determinable from the list. Blank"
93,Whinchat,Saxicola rubetra,Saxicola rubetra,Whinchat,,high,,Saxicola rubetra Bechst. = Saxicola rubetra (Whinchat); same species
94,Stonechat,Saxicola rubicola,Saxicola rubicola,European Stonechat,,high,Saxicola torquatus;Saxicola torquata,European Stonechat (split from African/Siberian)
95,Redstart,Phoenicura ruticilla,Phoenicurus phoenicurus,Common Redstart,,high,,Common Redstart
96,Black Redstart,Phoenicura tithys,Phoenicurus ochruros,Black Redstart,,high,Phoenicurus tithys,Phoenicura tithys = Black Redstart
97,Blue-throated Warbler,Phoenicura Suecica,Luscinia svecica,Bluethroat,,high,Cyanecula svecica,Blue-throated Warbler = Bluethroat
98,Robin,Erythaca rubecula,Erithacus rubecula,European Robin,,high,,Erythaca rubecula Swains. = Erithacus rubecula (European Robin); same species
99,Alpine Accentor,Accentor alpinus,Prunella collaris,Alpine Accentor,,high,,"Accentor alpinus Bechst. = Prunella collaris (Alpine Accentor); same species, older binomial"
100,Hedge Accentor,Accentor modularis,Prunella modularis,Dunnock,,high,,Hedge Accentor = Dunnock
101,Mountain Accentor,Accentor montanellus,Prunella montanella,Siberian Accentor,,high,,Siberian Accentor
102,Reed Locustelle,Locustella fluviatilis,Locustella fluviatilis,River Warbler,,high,,River Warbler
103,Brake Locustelle,Locustella avicula,Locustella naevia,Common Grasshopper-Warbler,,high,,Locustella avicula Ray = Grasshopper Warbler L. naevia
104,Willow Locustelle,Locustella luscinoïdes,Locustella luscinioides,Savi's Warbler,,high,,Savi's Warbler
105,Creeping Locustelle,Locustella certhiola,Helopsaltes certhiola,Pallas's Grasshopper Warbler,,high,Locustella certhiola,Pallas's Grasshopper Warbler
106,Great Sedge Warbler,Salicaria Turdoïdes,Acrocephalus arundinaceus,Great Reed Warbler,,high,,Salicaria turdoides = Great Reed Warbler
107,Olive-tree Salicaria,Salicaria Olivetorum,Hippolais olivetorum,Olive-tree Warbler,,high,,Salicaria Olivetorum Strickl. = Hippolais olivetorum (Olive-tree Warbler); same species
108,Reed Wren,Salicaria arundinacea,Acrocephalus scirpaceus,Eurasian Reed Warbler,,high,,Reed Wren/Salicaria arundinacea = Eurasian Reed Warbler. Trap: modern A. arundinaceus is the Great Reed Warbler
109,Marsh Warbler,Salicaria palustris,Acrocephalus palustris,Marsh Warbler,,high,,Salicaria palustris = Acrocephalus palustris (Marsh Warbler); same species
110,Sedge Warbler,Salicaria Phragmitis,Acrocephalus schoenobaenus,Sedge Warbler,,high,Acrocephalus phragmitis,Salicaria phragmitis = Sedge Warbler
111,Moustached Warbler,Salicaria melanopogon,Acrocephalus melanopogon,Moustached Warbler,,high,,Salicaria melanopogon = Acrocephalus melanopogon (Moustached Warbler); same species
111,Aquatic Warbler,Salicaria aquatica,Acrocephalus paludicola,Aquatic Warbler,,high,,Salicaria aquatica = Aquatic Warbler A. paludicola
112,Rufous Sedge Warbler,Salicaria galactotes,Cercotrichas galactotes,Rufous-tailed Scrub-Robin,,high,Erythropygia galactotes,Sylvia galactotes Temm. = Rufous-tailed Scrub Robin (Rufous Bush Chat); Gould placed it with the reed warblers
113,Fantail Warbler,Salicaria cisticola,Cisticola juncidis,Zitting Cisticola,,high,,Fantail Warbler = Zitting Cisticola
114,Cetti's Warbler,Salicaria ? Cetti,Cettia cetti,Cetti's Warbler,,high,,Salicaria ? Cetti = Cettia cetti (Cetti's Warbler); same species
115,Silky Warbler,Salicaria ? sericea,Cettia cetti,Cetti's Warbler,variant,decided,,"Sylvia sericea Natterer is a synonym of Cetti's Warbler; Gould figured it as a second species ('Silky Warbler'). Confirm the plate looks like Cetti's | Decided 25 Sep 2026 on the review page, checked against Dresser and the KU catalogue (see gould_europe.yaml)."
116,Nightingale,Philomela luscinia,Luscinia megarhynchos,Common Nightingale,,high,,Gould's Nightingale = Common Nightingale L. megarhynchos; his Thrush Nightingale is plate 117. Trap: modern Luscinia luscinia is the Thrush Nightingale
117,Thrush Nightingale,Philomela Turdoïdes,Luscinia luscinia,Thrush Nightingale,,high,Luscinia philomela,Thrush Nightingale (Sprosser)
118,Gorget Warbler,Calliope Lathamii,Calliope calliope,Siberian Rubythroat,,high,Luscinia calliope,Gorget Warbler / Calliope lathamii = Siberian Rubythroat
119,Orpheus Warbler,Curruca Orphea,Curruca hortensis,Western Orphean Warbler,,decided,Sylvia hortensis,"Orphean Warbler, since split Western (C. hortensis) / Eastern (C. crassirostris). Temminck's orphea is based on southern French/Italian birds, so Western is probable, but Gould may have figured a Dalmatian/eastern bird | Decided 25 Sep 2026 on the review page, checked against Dresser and the KU catalogue (see gould_europe.yaml)."
120,Black-cap,Curruca atricapilla,Sylvia atricapilla,Eurasian Blackcap,,high,,Curruca atricapilla Bechst. = Sylvia atricapilla (Eurasian Blackcap); same species
121,Garden Warbler,Curruca hortensis,Sylvia borin,Garden Warbler,,high,,Garden Warbler; Curruca hortensis Bechst. of Gould's day is Sylvia borin. Trap: modern Curruca hortensis is the Western Orphean Warbler
122,Rüppell's Warbler,Curruca Ruppellii,,,,high,Sylvia rueppelli,"Curruca Ruppellii = Curruca ruppeli, which is not a BirdNET V2.4 label; blank. Rüppell's Warbler"
123,Sardinian Warbler,Curruca melanocephala,Curruca melanocephala,Sardinian Warbler,,high,Sylvia melanocephala,Curruca melanocephala Lath. = Curruca melanocephala (Sardinian Warbler); same species
124,Sub-alpine Warbler,Curruca leucopogon,,,,low,,"Subalpine Warbler, now split three ways (Western C. iberiae, Moltoni's C. subalpina, Eastern C. cantillans); leucopogon Meyer is an eastern name and BirdNET has only Western. Blank"
125,Common White-throat,Curruca cinerea,Curruca communis,Greater Whitethroat,,high,Sylvia communis,Common Whitethroat
125,Lesser White-throat,Curruca garrula,Curruca curruca,Lesser Whitethroat,,high,Sylvia curruca,Lesser Whitethroat
126,Spectacle Warbler,Curruca conspicillata,Curruca conspicillata,Spectacled Warbler,,high,Sylvia conspicillata,Curruca conspicillata = Curruca conspicillata (Spectacled Warbler); same species
127,Marmora's Warbler,Curruca Sarda,,,,high,Sylvia sarda,"Curruca Sarda = Curruca sarda, which is not a BirdNET V2.4 label; blank. Marmora's Warbler"
128,Barred Warbler,Curruca nisoria,Curruca nisoria,Barred Warbler,,high,Sylvia nisoria,Curruca nisoria = Curruca nisoria (Barred Warbler); same species
129,Dartford Warbler,Melizophilus provincialis,Curruca undata,Dartford Warbler,,high,Sylvia undata,Dartford Warbler
130,Wren,Troglodytes Europæus,Troglodytes troglodytes,Eurasian Wren,,high,,Eurasian Wren
131,Willow Wren,Sylvia trochilus,Phylloscopus trochilus,Willow Warbler,,high,,Willow Wren = Willow Warbler
131,Chiff-chaff,Sylvia rufa,Phylloscopus collybita,Common Chiffchaff,,high,Phylloscopus rufus,Sylvia rufa Lath. = Chiffchaff
131,Wood Wren,Sylvia sibilatrix,Phylloscopus sibilatrix,Wood Warbler,,high,,Wood Wren = Wood Warbler
132,Yellow Willow Wren,Sylvia Icterina,,,,low,,"Vieillot's Sylvia icterina is nominally the Icterine Warbler, but Gould's 'Yellow Willow Wren' is set among the Phylloscopus and the Icterine seems to be his plate 133; the figure's identity is disputed. Blank"
133,Melodious Willow Wren,Sylvia Hippolais,Hippolais icterina,Icterine Warbler,,decided,,"Temminck's Sylvia hippolais is the Icterine Warbler (Motacilla hippolais Linn.), but Gould's English 'Melodious Willow Wren' echoes the Melodious Warbler (H. polyglotta, lumped then); confirm on the plate (long primary projection = Icterine) | Decided 25 Sep 2026 on the review page, checked against Dresser and the KU catalogue (see gould_europe.yaml)."
134,Natterer's Warbler,Sylvia Nattereri,Phylloscopus bonelli,Western Bonelli's Warbler,,decided,,"Sylvia nattereri Temm. = Bonelli's Warbler, now split Western (P. bonelli) / Eastern (P. orientalis). Gould's European bird is most likely western, but confirm | Decided 25 Sep 2026 on the review page, checked against Dresser and the KU catalogue (see gould_europe.yaml)."
135,Richard's Pipit,Anthus Richardi,Anthus richardi,Richard's Pipit,,high,,Anthus Richardi Vieill. = Anthus richardi (Richard's Pipit); same species
136,Meadow Pipit,Anthus pratensis,Anthus pratensis,Meadow Pipit,,high,,Anthus pratensis Bechst. = Anthus pratensis (Meadow Pipit); same species
137,Tawny Pipit,Anthus rufescens,Anthus campestris,Tawny Pipit,,high,,Anthus rufescens Temm. = Tawny Pipit A. campestris
138,Rock or Shore Pipit,Anthus aquaticus,,,,low,,"Anthus aquaticus Bechst. is the Water Pipit (A. spinoletta), but Gould's English ""Rock or Shore Pipit"" is the Rock Pipit (A. petrosus); the two were one species then and the plate could show either. Blank"
139,Tree Pipit,Anthus arboreus,Anthus trivialis,Tree Pipit,,high,,Tree Pipit
140,Red-throated Pipit,Anthus rufogularis,Anthus cervinus,Red-throated Pipit,,high,,Anthus rufogularis Temm. = Red-throated Pipit A. cervinus
141,Pied Wagtail,Motacilla Yarrellii,Motacilla alba,White Wagtail,subspecies,high,Motacilla yarrellii,"Pied Wagtail = M. alba yarrellii, a subspecies of White Wagtail"
142,White-winged Wagtail,Motacilla lugubris,Motacilla alba,White Wagtail,subspecies,decided,Motacilla lugens,"Pallas's lugubris is the black-backed (lugens) form of White Wagtail, once a species (Black-backed Wagtail), now in M. alba. Gould's figure may instead be a dark M. alba yarrellii; either way M. alba, but confirm it is not the Japanese Wagtail | Decided 25 Sep 2026 on the review page, checked against Dresser and the KU catalogue (see gould_europe.yaml)."
143,White Wagtail,Motacilla alba,Motacilla alba,White Wagtail,,high,,Motacilla alba Linn. = Motacilla alba (White Wagtail); same species
144,Yellow-headed Wagtail,Motacilla citreola,Motacilla citreola,Citrine Wagtail,,high,,Motacilla citreola Pall. = Motacilla citreola (Citrine Wagtail); same species
145,Yellow Wagtail,Motacilla flava,Motacilla flava,Western Yellow Wagtail,,high,,Yellow Wagtail (Western)
146,Grey-headed Wagtail,Motacilla neglecta,Motacilla flava,Western Yellow Wagtail,subspecies,high,,"Grey-headed Wagtail, described by Gould, is M. flava thunbergi, a subspecies of Western Yellow Wagtail"
147,Grey Wagtail,Motacilla Boarula,Motacilla cinerea,Gray Wagtail,,high,Motacilla boarula,Grey Wagtail
148,Fire-crested Wren,Regulus ignicapillus,Regulus ignicapilla,Common Firecrest,,high,,Firecrest
148,Golden-crested Wren,Regulus vulgaris,Regulus regulus,Goldcrest,,high,,Goldcrest
149,Dalmatian Regulus,Regulus modestus,Phylloscopus proregulus,Pallas's Leaf Warbler,,decided,,"Regulus modestus Gould (from a Dalmatian specimen) is a synonym of the Yellow-browed Warbler P. inornatus; Hume's (P. humei) is split but is not a European bird. Confirm | Decided 25 Sep 2026 on the review page, checked against Dresser and the KU catalogue (see gould_europe.yaml)."
150,Great Tit,Parus major,Parus major,Great Tit,,high,,Parus major Linn. = Parus major (Great Tit); same species
151,Sombre Tit,Parus lugubris,Poecile lugubris,Sombre Tit,,high,,Sombre Tit
151,Siberian Tit,Parus Sibericus,Poecile cinctus,Gray-headed Chickadee,,high,,Siberian Tit = Grey-headed Chickadee
152,Toupet Tit,Parus bicolor,Baeolophus bicolor,Tufted Titmouse,,high,,Parus bicolor Linn. = Tufted Titmouse
153,Azure Tit,Parus cyanus,Cyanistes cyanus,Azure Tit,,high,,Azure Tit
154,Blue Tit,Parus cœruleus,Cyanistes caeruleus,Eurasian Blue Tit,,high,Parus caeruleus,"Parus cœruleus Linn. = Cyanistes caeruleus (Eurasian Blue Tit); same species, older binomial"
155,Cole Tit,Parus ater,Periparus ater,Coal Tit,,high,Parus ater,Parus ater Linn. = Periparus ater (Coal Tit); same species
155,Marsh Tit,Parus palustris,Poecile palustris,Marsh Tit,,high,Parus palustris,"Marsh Tit (Willow Tit P. montanus, described 1827, was lumped; European Willow Tits in Britain went unrecognised till 1897)"
156,Crested Tit,Parus cristatus,Lophophanes cristatus,Crested Tit,,high,Parus cristatus,Parus cristatus Linn. = Lophophanes cristatus (Crested Tit); same species
157,Long-tailed Tit,Parus caudatus,Aegithalos caudatus,Long-tailed Tit,,high,,Parus caudatus Linn. = Aegithalos caudatus (Long-tailed Tit); same species
158,"Bearded Tit, or Reed Bird",Calamophilus biarmicus,Panurus biarmicus,Bearded Reedling,,high,,Bearded Tit = Bearded Reedling
159,Penduline Tit,Ægithalus pendulinus,Remiz pendulinus,Eurasian Penduline-Tit,,high,,Ægithalus pendulinus Vig. = Remiz pendulinus (Eurasian Penduline-Tit); same species
