volume,plate,figure,printed_name,printed_latin,scientific,common,ebird_code,taxonomy,wikidata,gbif,avibase,birdnet_label,form,confidence,caption_checked,reason,sources
I,14,,New Holland Goshawk,Astur Novae-Hollandiae,Tachyspiza novaehollandiae,Gray Goshawk,grygos1,eBird/Clements 2025,Q938996,2480629,CFB9E213A27D0DCE,Accipiter novaehollandiae_Gray Goshawk,,high,yes,"Grey Goshawk, grey morph",List of Plates (vol. I); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
I,15,,White Goshawk,Astur (albino),Tachyspiza novaehollandiae,Gray Goshawk,grygos1,eBird/Clements 2025,Q938996,2480629,CFB9E213A27D0DCE,Accipiter novaehollandiae_Gray Goshawk,,high,yes,"Grey Goshawk, white morph",List of Plates (vol. I); engraved caption on the leaf; Gould's text and synonymy; crosswalk
I,16,,Radiated Goshawk,Astur radiatus,Erythrotriorchis radiatus,Red Goshawk,redgos1,eBird/Clements 2025,Q1262861,2480459,235CF06AE7A1E9A8,,,high,yes,Red Goshawk; not in BirdNET,List of Plates (vol. I); engraved caption on the leaf; Gould's text and synonymy; crosswalk
I,17,,Australian Goshawk,Astur approximans,Tachyspiza fasciata,Brown Goshawk,brogos1,eBird/Clements 2025,Q114715,2480626,8257AE54E56538E3,Accipiter fasciatus_Brown Goshawk,,high,yes,approximans Vig&Horsf = Brown Goshawk,List of Plates (vol. I); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
I,18,,West Australian Goshawk,Astur cruentus,Tachyspiza fasciata,Brown Goshawk,brogos1,eBird/Clements 2025,Q114715,2480626,8257AE54E56538E3,Accipiter fasciatus_Brown Goshawk,,high,yes,cruentus Gould = SW Australian Brown Goshawk,List of Plates (vol. I); engraved caption on the leaf; Gould's text and synonymy; crosswalk
I,19,,Collared Sparrow Hawk,Accipiter torquatus,Tachyspiza cirrocephala,Collared Sparrowhawk,colspa1,eBird/Clements 2025,Q114170,2480601,21957C9584734C7A,Accipiter cirrocephalus_Collared Sparrowhawk,,high,yes,torquatus Cuvier = Collared Sparrowhawk,List of Plates (vol. I); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
I,20,,Black-breasted Buzzard,Buteo melanosternon,Hamirostra melanosternon,Black-breasted Kite,bkbkit1,eBird/Clements 2025,Q998652,2480473,2775A1ED16269C5D,,,high,yes,Black-breasted Buzzard; not in BirdNET,List of Plates (vol. I); engraved caption on the leaf; Gould's text and synonymy; crosswalk
I,21,,Allied Kite,Milvus affinis,Milvus migrans,Black Kite,blakit1,eBird/Clements 2025,Q80362,5229167,C1C255AA01C58664,Milvus migrans_Black Kite,,high,yes,affinis Gould = Australian Black Kite,List of Plates (vol. I); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
I,22,,Square-tailed Kite,Milvus isurus,Lophoictinia isura,Square-tailed Kite,sqtkit1,eBird/Clements 2025,Q1118561,2480643,E5D782FB70F1809F,,,high,yes,Square-tailed Kite; not in BirdNET,List of Plates (vol. I); engraved caption on the leaf; Gould's text and synonymy; crosswalk
I,23,,Black-shouldered Kite,Elanus axillaris,Elanus axillaris,Black-shouldered Kite,auskit1,eBird/Clements 2025,Q594328,2480369,67E74DD0BE9B257F,,,high,yes,Black-shouldered Kite (Australian); not in BirdNET (E. caeruleus is a different species),List of Plates (vol. I); engraved caption on the leaf; Gould's text and synonymy; crosswalk
I,24,,Letter-winged Kite,Elanus scriptus,Elanus scriptus,Letter-winged Kite,lewkit1,eBird/Clements 2025,Q269284,2480371,468F7841C0AC3AD5,,,high,yes,Letter-winged Kite; not in BirdNET,List of Plates (vol. I); engraved caption on the leaf; Gould's text and synonymy; crosswalk
I,25,,Crested Hawk,Lepidogenys subcristatus,Aviceda subcristata,Pacific Baza,pacbaz1,eBird/Clements 2025,Q653972,2480707,010AC9945B51D324,Aviceda subcristata_Pacific Baza,,high,yes,Pacific Baza,List of Plates (vol. I); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
I,26,,Allied Harrier,Circus assimilis,Circus approximans,Swamp Harrier,swahar1,eBird/Clements 2025,Q605827,5229172,1ACF5A6EA3C82C25,Circus approximans_Swamp Harrier,,high,yes,TRAP: Gould misapplied assimilis J&S to the Swamp Harrier (text: 'resembles the Marsh Harrier'; Circus gouldi Bp. is the new name for it),List of Plates (vol. I); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
I,27,,Jardine’s Harrier,Circus Jardinii,Circus assimilis,Spotted Harrier,spohar1,eBird/Clements 2025,Q964377,5229176,811762D23CC0F003,,,high,yes,jardinii Gould = Spotted Harrier (true C. assimilis); not in BirdNET,List of Plates (vol. I); engraved caption on the leaf; Gould's text and synonymy; crosswalk
I,28,,Chestnut-faced Owl,Strix castanops,Tyto novaehollandiae,Australian Masked-Owl,aumowl1,eBird/Clements 2025,Q781909,5232413,6E574A8D0A8546CB,Tyto novaehollandiae_Australian Masked-Owl,,high,yes,castanops = Tasmanian race of Australian Masked-Owl (lumped),List of Plates (vol. I); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
I,29,,Masked Barn Owl,Strix personata,Tyto novaehollandiae,Australian Masked-Owl,aumowl1,eBird/Clements 2025,Q781909,5232413,6E574A8D0A8546CB,Tyto novaehollandiae_Australian Masked-Owl,,high,yes,personata = Australian Masked-Owl,List of Plates (vol. I); engraved caption on the leaf; Gould's text and synonymy; crosswalk
I,30,,Sooty Owl,Strix tenebricosus,Tyto tenebricosa,Sooty Owl,sooowl1,eBird/Clements 2025,Q1268348,5232358,9900ACA980028539,Tyto tenebricosa_Sooty Owl,,high,yes,Sooty Owl,List of Plates (vol. I); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
I,31,,Delicate Owl,Strix delicatulus,Tyto alba,Western Barn Owl,webowl1,eBird/Clements 2025,,,,Tyto alba_Barn Owl,,high,yes,delicatula = Eastern Barn Owl; BirdNET lumps in Tyto alba; eBird splits Barn Owl; the binomial stays with Western Barn Owl,List of Plates (vol. I); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
I,32,,Boobook Owl,Athene Boobook,Ninox boobook,Australian Boobook,souboo8,eBird/Clements 2025,Q3342037,2497828,20110A3ACF0564BD,Ninox boobook_Southern Boobook,,high,yes,Southern Boobook (Clements: Australian Boobook),List of Plates (vol. I); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
I,33,,Spotted Owl,Athene maculata,Ninox leucopsis,Tasmanian Boobook,souboo3,eBird/Clements 2025,Q27610700,6176173,,Ninox novaeseelandiae_Morepork,,low,yes,"drawn from live Hobart birds = Tasmanian Boobook; Clements 2021 kept it in Morepork, IOC splits; BirdNET Morepork is NZ-trained",List of Plates (vol. I); engraved caption on the leaf; Gould's text and synonymy; crosswalk
I,34,,Winking Owl,Athene connivens,Ninox connivens,Barking Owl,barowl1,eBird/Clements 2025,Q1059545,2497798,E7FB486F22543EF9,Ninox connivens_Barking Owl,,high,yes,Barking Owl,List of Plates (vol. I); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
I,35,,Powerful Owl,Athene strenua,Ninox strenua,Powerful Owl,powowl1,eBird/Clements 2025,Q370297,2497827,2DF7793A341CF7C9,Ninox strenua_Powerful Owl,,high,yes,Powerful Owl,List of Plates (vol. I); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
I,36,,Rufous Owl,Athene rufa,Ninox rufa,Rufous Owl,rufowl2,eBird/Clements 2025,Q373033,2497792,0A4EC595481997BD,,,high,yes,Rufous Owl; not in BirdNET,List of Plates (vol. I); engraved caption on the leaf; Gould's text and synonymy; crosswalk
II,1,,Owlet Nightjar,Aegotheles Novae-Hollandiae,Aegotheles cristatus,Australian Owlet-nightjar,auonig1,eBird/Clements 2025,Q781928,2496782,175A7534149FDC90,Aegotheles cristatus_Australian Owlet-nightjar,,high,yes,novaehollandiae = Australian Owlet-nightjar,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
II,2,,White-bellied Owlet Nightjar,Aegotheles leucogaster,Aegotheles cristatus,Australian Owlet-nightjar,auonig1,eBird/Clements 2025,Q781928,2496782,175A7534149FDC90,Aegotheles cristatus_Australian Owlet-nightjar,,high,yes,leucogaster = inland race,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk
II,3,,Tawny-shouldered Podargus,Podargus humeralis,Podargus strigoides,Tawny Frogmouth,tawfro1,eBird/Clements 2025,Q788512,2497109,8500F1302409AD32,Podargus strigoides_Tawny Frogmouth,,high,yes,humeralis = Tawny Frogmouth,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
II,4,,Cuvier’s Podargus,Podargus Cuvieri,Podargus strigoides,Tawny Frogmouth,tawfro1,eBird/Clements 2025,Q788512,2497109,8500F1302409AD32,Podargus strigoides_Tawny Frogmouth,,high,yes,cuvieri = Tasmanian/SE Tawny Frogmouth,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk
II,5,,Moth-plumaged Podargus,Podargus Phalaenoides,Podargus strigoides,Tawny Frogmouth,tawfro1,eBird/Clements 2025,Q788512,2497109,8500F1302409AD32,Podargus strigoides_Tawny Frogmouth,,high,yes,phalaenoides = N race of Tawny Frogmouth,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk
II,6,,Plumed Podargus,Podargus plumiferus,Podargus ocellatus,Marbled Frogmouth,marfro1,eBird/Clements 2025,Q261612,2497113,A9003A7BBC4AEE30,Podargus ocellatus_Marbled Frogmouth,,high,yes,"plumiferus = Plumed Frogmouth, race of Marbled Frogmouth",List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
II,7,,White-throated Goat-sucker,Eurostopodus albogularis,Eurostopodus mystacalis,White-throated Nightjar,whtnig3,eBird/Clements 2025,Q1273088,2497101,8A6C3156485A01B0,Eurostopodus mystacalis_White-throated Nightjar,,high,yes,albogularis = White-throated Nightjar,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
II,8,,Spotted Goat-sucker,Eurostopodus guttatus,Eurostopodus argus,Spotted Nightjar,sponig1,eBird/Clements 2025,Q837198,2497091,28BD3EB7C0896C98,Eurostopodus argus_Spotted Nightjar,,high,yes,guttatus = Spotted Nightjar,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
II,9,,Large-tailed Goat-sucker,Caprimulgus macrurus,Caprimulgus macrurus,Large-tailed Nightjar,latnig2,eBird/Clements 2025,Q31941,2496890,04DDADF0515EECDA,Caprimulgus macrurus_Large-tailed Nightjar,,high,yes,Large-tailed Nightjar,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
II,10,,Australian Spine-tailed Swallow,Acanthylis caudacuta,Hirundapus caudacutus,White-throated Needletail,whtnee,eBird/Clements 2025,Q31769,2477130,EA55CA2791012786,Hirundapus caudacutus_White-throated Needletail,,high,yes,White-throated Needletail,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
II,11,,Australian Swift,Cypselus Australis,Apus pacificus,Pacific Swift,fotswi,eBird/Clements 2025,Q31866,5228670,E23EBEFB47EB1EB0,Apus pacificus_Pacific Swift,,high,yes,Cypselus australis Gould = Pacific Swift,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
II,12,,White-breasted Swallow,Atticora leucosternon,Cheramoeca leucosterna,White-backed Swallow,whbswa3,eBird/Clements 2025,Q2525796,4846788,,,,high,yes,White-backed Swallow; not in BirdNET,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk
II,13,,Welcome Swallow,Hirundo neoxena,Hirundo neoxena,Welcome Swallow,welswa1,eBird/Clements 2025,Q938692,5230789,F8F6B79557EFD5FA,Hirundo neoxena_Welcome Swallow,,high,yes,Welcome Swallow,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
II,14,,Tree Martin,Collocalia arborea,Petrochelidon nigricans,Tree Martin,tremar2,eBird/Clements 2025,Q2668013,6094910,CF1BEA6BD9E9F98C,Petrochelidon nigricans_Tree Martin,,high,yes,Tree Martin,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
II,15,,Fairy Martin,Collocalia Ariel,Petrochelidon ariel,Fairy Martin,faimar2,eBird/Clements 2025,Q2225257,4846800,7FB743966F7573BB,Petrochelidon ariel_Fairy Martin,,high,yes,Fairy Martin,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
II,16,,Australian Bee-eater,Merops ornatus,Merops ornatus,Rainbow Bee-eater,rabeat1,eBird/Clements 2025,Q833979,2475422,3EDF8B55F09854A3,Merops ornatus_Rainbow Bee-eater,,high,yes,Rainbow Bee-eater,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
II,17,,Australian Roller,Eurystomus Australis,Eurystomus orientalis,Dollarbird,dollar1,eBird/Clements 2025,Q44109,5228280,924BAB9CF551E030,Eurystomus orientalis_Dollarbird,,high,yes,australis = Dollarbird (pacificus),List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
II,18,,Great Brown Kingfisher,Dacelo gigantea,Dacelo novaeguineae,Laughing Kookaburra,laukoo1,eBird/Clements 2025,Q824974,2475648,94AF4A470D4C6319,Dacelo novaeguineae_Laughing Kookaburra,,high,yes,gigantea = Laughing Kookaburra,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
II,19,,Leach’s Kingfisher,Dacelo Leachii,Dacelo leachii,Blue-winged Kookaburra,blwkoo1,eBird/Clements 2025,Q854856,2475654,6F0C3A53E589B886,Dacelo leachii_Blue-winged Kookaburra,,high,yes,Blue-winged Kookaburra,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
II,20,,Fawn-breasted Kingfisher,Dacelo cervina,Dacelo leachii,Blue-winged Kookaburra,blwkoo1,eBird/Clements 2025,Q854856,2475654,6F0C3A53E589B886,Dacelo leachii_Blue-winged Kookaburra,,high,yes,cervina = NT race of Blue-winged Kookaburra,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk
II,21,,Sacred Halcyon,Halcyon sanctus,Todiramphus sanctus,Sacred Kingfisher,sackin1,eBird/Clements 2025,Q31998,2475802,0B89BFD78DF51530,Todiramphus sanctus_Sacred Kingfisher,,high,yes,Sacred Kingfisher,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
II,22,,Red-backed Halcyon,Halcyon pyrrhopygia,Todiramphus pyrrhopygius,Red-backed Kingfisher,rebkin2,eBird/Clements 2025,Q931023,2475733,F103AAE16D092DA4,,,high,yes,Red-backed Kingfisher; not in BirdNET,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk
II,23,,Sordid Halcyon,Halcyon sordidus,Todiramphus sordidus,Torresian Kingfisher,colkin9,eBird/Clements 2025,Q22286625,8010240,,Todiramphus sordidus_Torresian Kingfisher,,high,yes,Torresian Kingfisher (split from Collared in BirdNET),List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
II,24,,MacLeay’s Halcyon,Halcyon MacLeayii,Todiramphus macleayii,Forest Kingfisher,forkin1,eBird/Clements 2025,Q1263887,2475735,31B7FC1191ECFB44,Todiramphus macleayii_Forest Kingfisher,,high,yes,Forest Kingfisher,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
II,25,,Azure Kingfisher,Alcyone azurea,Ceyx azureus,Azure Kingfisher,azukin1,eBird/Clements 2025,Q22662094,7342322,AC4118FAD2F319D0,Ceyx azureus_Azure Kingfisher,,high,yes,Azure Kingfisher,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
II,26,,Little Kingfisher,Alcyone pusilla,Ceyx pusillus,Little Kingfisher,litkin1,eBird/Clements 2025,Q22662112,7342300,9F840FEA001B1C35,,,high,yes,Little Kingfisher; not in BirdNET,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk
II,27,,Wood Swallow,Artamus sordidus,Artamus cyanopterus,Dusky Woodswallow,duswoo1,eBird/Clements 2025,Q601632,5230392,0DA479A10C356455,Artamus cyanopterus_Dusky Woodswallow,,high,yes,sordidus = Dusky Woodswallow,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
II,28,,Little Wood Swallow,Artamus minor,Artamus minor,Little Woodswallow,litwoo4,eBird/Clements 2025,Q267580,5230391,CEB500D2B60ED666,,,high,yes,Little Woodswallow; not in BirdNET,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk
II,29,,Grey-breasted Wood Swallow,Artamus cinereus,Artamus cinereus,Black-faced Woodswallow,blfwoo1,eBird/Clements 2025,Q795089,5230399,DD4B0562F1889B31,Artamus cinereus_Black-faced Woodswallow,,high,yes,Black-faced Woodswallow,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
II,30,,White-vented Wood Swallow,Artamus albiventris,Artamus cinereus,Black-faced Woodswallow,blfwoo1,eBird/Clements 2025,Q795089,5230399,DD4B0562F1889B31,Artamus cinereus_Black-faced Woodswallow,,high,yes,albiventris = race of Black-faced Woodswallow,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk
II,31,,Masked Wood Swallow,Artamus personatus,Artamus personatus,Masked Woodswallow,maswoo1,eBird/Clements 2025,Q649084,5230393,92A5A04D006A2FF3,Artamus personatus_Masked Woodswallow,,high,yes,Masked Woodswallow,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
II,32,,White-eyebrowed Wood Swallow,Artamus superciliosus,Artamus superciliosus,White-browed Woodswallow,whbwoo5,eBird/Clements 2025,Q900393,5230390,FC26F2A3CD5FFC75,Artamus superciliosus_White-browed Woodswallow,,high,yes,White-browed Woodswallow,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
II,33,,White-rumped Wood Swallow,Artamus leucopygialis,Artamus leucorynchus,White-breasted Woodswallow,whbwoo4,eBird/Clements 2025,Q795046,5230389,05793C3ECB9CDC3D,Artamus leucorynchus_White-breasted Woodswallow,,high,yes,leucopygialis = Australian White-breasted Woodswallow,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
II,34,,Swallow Dicæum,Dicaeum hirundinaceum,Dicaeum hirundinaceum,Mistletoebird,mistle1,eBird/Clements 2025,Q538383,2484700,8E5F469E25ABE4AB,Dicaeum hirundinaceum_Mistletoebird,,high,yes,Mistletoebird,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
II,35,,Spotted Pardalote,Pardalotus punctatus,Pardalotus punctatus,Spotted Pardalote,spopar1,eBird/Clements 2025,Q573169,2486622,,Pardalotus punctatus_Spotted Pardalote,,high,yes,Spotted Pardalote,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
II,36,,Red-lored Pardalote,Pardalotus rubricatus,Pardalotus rubricatus,Red-browed Pardalote,rebpar6,eBird/Clements 2025,Q2628826,2486623,,Pardalotus rubricatus_Red-browed Pardalote,,high,yes,Red-browed Pardalote,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
II,37,,Forty-spotted Pardalote,Pardalotus quadragintus,Pardalotus quadragintus,Forty-spotted Pardalote,fospar1,eBird/Clements 2025,Q939963,2486620,,,,high,yes,Forty-spotted Pardalote; not in BirdNET,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk
II,38,,Striated Pardalote,Pardalotus striatus,Pardalotus striatus,Striated Pardalote,strpar1,eBird/Clements 2025,Q609285,2486621,747BFF64096CE70D,Pardalotus striatus_Striated Pardalote,,high,yes,Striated Pardalote (Tasmanian nominate),List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
II,39,,Allied Pardalote,Pardalotus affinis,Pardalotus striatus,Striated Pardalote,strpar1,eBird/Clements 2025,Q609285,2486621,747BFF64096CE70D,Pardalotus striatus_Striated Pardalote,,high,yes,affinis = race of Striated Pardalote,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk
II,40,,Black-headed Pardalote,Pardalotus melanocephalus,Pardalotus striatus,Striated Pardalote,strpar1,eBird/Clements 2025,Q609285,2486621,747BFF64096CE70D,Pardalotus striatus_Striated Pardalote,,high,yes,melanocephalus = race of Striated Pardalote,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk
II,41,,Yellow-rumped Pardalote,Pardalotus uropygialis,Pardalotus striatus,Striated Pardalote,strpar1,eBird/Clements 2025,Q609285,2486621,747BFF64096CE70D,Pardalotus striatus_Striated Pardalote,,high,yes,uropygialis = race of Striated Pardalote,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk
II,42,,Great Crow-Shrike,Strepera graculina,Strepera graculina,Pied Currawong,piecur1,eBird/Clements 2025,Q966961,2489448,B39778F8AB95CC41,Strepera graculina_Pied Currawong,,high,yes,Pied Currawong,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
II,43,,Sooty Crow-Shrike,Strepera fuliginosa,Strepera fuliginosa,Black Currawong,blacur2,eBird/Clements 2025,Q1586211,2489447,7FF38E732C0FF0B6,Strepera fuliginosa_Black Currawong,,high,yes,Black Currawong,List of Plates (vol. II); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
